Entry	Entry name	Status	Protein names	Gene names	Organism	Cross-reference (InterPro)	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Length
P52597	HNRPF_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein F (hnRNP F) (Nucleolin-like protein mcs94-1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein F, N-terminally processed]	HNRNPF HNRPF	Homo sapiens (Human)	IPR035979;IPR000504;IPR012996;	fibroblast growth factor receptor signaling pathway [GO:0008543]; interleukin-12-mediated signaling pathway [GO:0035722]; mRNA splicing, via spliceosome [GO:0000398]; regulation of RNA splicing [GO:0043484]; RNA metabolic process [GO:0016070]; RNA processing [GO:0006396]	catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	RNA binding [GO:0003723]; single-stranded RNA binding [GO:0003727]; TBP-class protein binding [GO:0017025]	415
P61978	HNRPK_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein K (hnRNP K) (Transformation up-regulated nuclear protein) (TUNP)	HNRNPK HNRPK	Homo sapiens (Human)	IPR033090;IPR004087;IPR004088;IPR036612;IPR012987;	mRNA splicing, via spliceosome [GO:0000398]; negative regulation of apoptotic process [GO:0043066]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; positive regulation of low-density lipoprotein particle receptor biosynthetic process [GO:0045716]; positive regulation of receptor-mediated endocytosis [GO:0048260]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902165]; regulation of lipid transport by positive regulation of transcription from RNA polymerase II promoter [GO:0072369]; regulation of low-density lipoprotein particle clearance [GO:0010988]; RNA metabolic process [GO:0016070]; RNA processing [GO:0006396]; signal transduction [GO:0007165]; viral process [GO:0016032]	catalytic step 2 spliceosome [GO:0071013]; cell projection [GO:0042995]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; podosome [GO:0002102]	cadherin binding [GO:0045296]; identical protein binding [GO:0042802]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; single-stranded DNA binding [GO:0003697]; transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0001077]	463
P14866	HNRPL_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein L (hnRNP L)	HNRNPL HNRPL P/OKcl.14	Homo sapiens (Human)	IPR006536;IPR034816;IPR035005;IPR035008;IPR034817;IPR035979;IPR000504;	mRNA splicing, via spliceosome [GO:0000398]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA metabolic process [GO:0016070]; RNA processing [GO:0006396]	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein granule [GO:0035770]	pre-mRNA intronic binding [GO:0097157]; RNA binding [GO:0003723]; transcription regulatory region DNA binding [GO:0044212]	589
P52272	HNRPM_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein M (hnRNP M)	HNRNPM HNRPM NAGR1	Homo sapiens (Human)	IPR024667;IPR024666;IPR034990;IPR035979;IPR000504;	alternative mRNA splicing, via spliceosome [GO:0000380]; fibroblast growth factor receptor signaling pathway [GO:0008543]; mRNA splicing, via spliceosome [GO:0000398]; RNA metabolic process [GO:0016070]	catalytic step 2 spliceosome [GO:0071013]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; nuclear matrix [GO:0016363]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; paraspeckles [GO:0042382]; spliceosomal complex [GO:0005681]	protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]	730
O60506	HNRPQ_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein) (GRY-RBP) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein)	SYNCRIP HNRPQ NSAP1	Homo sapiens (Human)	IPR006535;IPR034544;IPR034548;IPR035979;IPR000504;	cellular response to interferon-gamma [GO:0071346]; CRD-mediated mRNA stabilization [GO:0070934]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of translation [GO:0017148]; osteoblast differentiation [GO:0001649]; RNA processing [GO:0006396]; RNA splicing [GO:0008380]; viral process [GO:0016032]	catalytic step 2 spliceosome [GO:0071013]; CRD-mediated mRNA stability complex [GO:0070937]; endoplasmic reticulum [GO:0005783]; GAIT complex [GO:0097452]; histone pre-mRNA 3'end processing complex [GO:0071204]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	poly(A) binding [GO:0008143]; RNA binding [GO:0003723]	623
O43390	HNRPR_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein R (hnRNP R)	HNRNPR HNRPR	Homo sapiens (Human)	IPR006535;IPR034410;IPR034411;IPR035979;IPR000504;	circadian rhythm [GO:0007623]; mRNA destabilization [GO:0061157]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of catalytic activity [GO:0043086]; RNA metabolic process [GO:0016070]	axon terminus [GO:0043679]; catalytic step 2 spliceosome [GO:0071013]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; growth cone [GO:0030426]; intracellular ribonucleoprotein complex [GO:0030529]; nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]	mRNA 3'-UTR binding [GO:0003730]; RNA binding [GO:0003723]	633
Q00839	HNRPU_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (GRIP120) (Nuclear p120 ribonucleoprotein) (Scaffold-attachment factor A) (SAF-A) (p120) (pp120)	HNRNPU C1orf199 HNRPU SAFA U21.1	Homo sapiens (Human)	IPR001870;IPR013320;IPR026745;IPR027417;IPR003034;IPR036361;IPR003877;IPR035778;	cardiac muscle cell development [GO:0055013]; cell cycle [GO:0007049]; cell division [GO:0051301]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to leukemia inhibitory factor [GO:1990830]; circadian regulation of gene expression [GO:0032922]; covalent chromatin modification [GO:0016569]; CRD-mediated mRNA stabilization [GO:0070934]; dosage compensation by inactivation of X chromosome [GO:0009048]; maintenance of protein location in nucleus [GO:0051457]; mRNA splicing, via spliceosome [GO:0000398]; mRNA stabilization [GO:0048255]; negative regulation of kinase activity [GO:0033673]; negative regulation of stem cell differentiation [GO:2000737]; negative regulation of telomere maintenance via telomerase [GO:0032211]; negative regulation of transcription elongation from RNA polymerase II promoter [GO:0034244]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; osteoblast differentiation [GO:0001649]; positive regulation of attachment of mitotic spindle microtubules to kinetochore [GO:1902425]; positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity [GO:2000373]; positive regulation of stem cell proliferation [GO:2000648]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; protein localization to spindle microtubule [GO:1902889]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of chromatin organization [GO:1902275]; regulation of mitotic cell cycle [GO:0007346]; regulation of mitotic spindle assembly [GO:1901673]; RNA localization to chromatin [GO:1990280]; RNA metabolic process [GO:0016070]; RNA processing [GO:0006396]; transcription, DNA-templated [GO:0006351]	catalytic step 2 spliceosome [GO:0071013]; cell surface [GO:0009986]; centrosome [GO:0005813]; condensed chromosome kinetochore [GO:0000777]; CRD-mediated mRNA stability complex [GO:0070937]; cytoplasmic ribonucleoprotein granule [GO:0036464]; extracellular matrix [GO:0031012]; inactive sex chromosome [GO:0098577]; intracellular ribonucleoprotein complex [GO:0030529]; kinetochore [GO:0000776]; macromolecular complex [GO:0032991]; membrane [GO:0016020]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; mitotic spindle microtubule [GO:1990498]; mitotic spindle midzone [GO:1990023]; nuclear chromosome [GO:0000228]; nuclear matrix [GO:0016363]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; spindle pole [GO:0000922]	actin binding [GO:0003779]; ATP binding [GO:0005524]; chromatin binding [GO:0003682]; chromatin DNA binding [GO:0031490]; core promoter binding [GO:0001047]; DNA binding [GO:0003677]; double-stranded DNA binding [GO:0003690]; double-stranded RNA binding [GO:0003725]; identical protein binding [GO:0042802]; macromolecular complex binding [GO:0044877]; mRNA 3'-UTR binding [GO:0003730]; poly(A) binding [GO:0008143]; poly(C) RNA binding [GO:0017130]; poly(G) binding [GO:0034046]; pre-mRNA binding [GO:0036002]; promoter-specific chromatin binding [GO:1990841]; ribonucleoprotein complex binding [GO:0043021]; RNA binding [GO:0003723]; RNA polymerase II core binding [GO:0000993]; RNA polymerase II C-terminal domain binding [GO:0099122]; sequence-specific double-stranded DNA binding [GO:1990837]; single-stranded DNA binding [GO:0003697]; single-stranded RNA binding [GO:0003727]; snRNA binding [GO:0017069]; telomerase RNA binding [GO:0070034]; TFIIH-class transcription factor binding [GO:0001097]; transcription corepressor activity [GO:0003714]	825
P11142	HSP7C_HUMAN	reviewed	Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1)	HSPA8 HSC70 HSP73 HSPA10	Homo sapiens (Human)	IPR018181;IPR029048;IPR029047;IPR013126;	ATP metabolic process [GO:0046034]; cellular response to starvation [GO:0009267]; chaperone-mediated autophagy [GO:0061684]; chaperone-mediated autophagy translocation complex disassembly [GO:1904764]; chaperone mediated protein folding requiring cofactor [GO:0051085]; chaperone-mediated protein transport involved in chaperone-mediated autophagy [GO:0061741]; clathrin coat disassembly [GO:0072318]; late endosomal microautophagy [GO:0061738]; membrane organization [GO:0061024]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of supramolecular fiber organization [GO:1902904]; negative regulation of transcription, DNA-templated [GO:0045892]; neurotransmitter secretion [GO:0007269]; neutrophil degranulation [GO:0043312]; positive regulation by host of viral genome replication [GO:0044829]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; protein folding [GO:0006457]; protein methylation [GO:0006479]; protein refolding [GO:0042026]; protein targeting to lysosome involved in chaperone-mediated autophagy [GO:0061740]; regulation of cell cycle [GO:0051726]; regulation of cellular response to heat [GO:1900034]; regulation of mRNA stability [GO:0043488]; regulation of protein complex assembly [GO:0043254]; regulation of protein complex stability [GO:0061635]; regulation of protein import [GO:1904589]; regulation of protein stability [GO:0031647]; response to unfolded protein [GO:0006986]; transcription, DNA-templated [GO:0006351]; viral process [GO:0016032]	blood microparticle [GO:0072562]; clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane [GO:0061202]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; focal adhesion [GO:0005925]; intracellular [GO:0005622]; intracellular ribonucleoprotein complex [GO:0030529]; late endosome [GO:0005770]; lumenal side of lysosomal membrane [GO:0098575]; lysosomal lumen [GO:0043202]; lysosomal membrane [GO:0005765]; melanosome [GO:0042470]; membrane [GO:0016020]; myelin sheath [GO:0043209]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; Prp19 complex [GO:0000974]; secretory granule lumen [GO:0034774]; spliceosomal complex [GO:0005681]	ATPase activity [GO:0016887]; ATPase activity, coupled [GO:0042623]; ATP binding [GO:0005524]; C3HC4-type RING finger domain binding [GO:0055131]; cadherin binding [GO:0045296]; enzyme binding [GO:0019899]; G-protein coupled receptor binding [GO:0001664]; heat shock protein binding [GO:0031072]; MHC class II protein complex binding [GO:0023026]; phosphatidylserine binding [GO:0001786]; RNA binding [GO:0003723]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]	646
P23588	IF4B_HUMAN	reviewed	Eukaryotic translation initiation factor 4B (eIF-4B)	EIF4B	Homo sapiens (Human)	IPR033107;IPR035979;IPR000504;	eukaryotic translation initiation factor 4F complex assembly [GO:0097010]; formation of translation preinitiation complex [GO:0001731]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; regulation of translational initiation [GO:0006446]; translational initiation [GO:0006413]	cytosol [GO:0005829]; eukaryotic translation initiation factor 4F complex [GO:0016281]; polysome [GO:0005844]	helicase activity [GO:0004386]; ribosomal small subunit binding [GO:0043024]; RNA binding [GO:0003723]; RNA strand annealing activity [GO:0033592]; RNA strand-exchange activity [GO:0034057]; translation initiation factor activity [GO:0003743]	611
Q12905	ILF2_HUMAN	reviewed	Interleukin enhancer-binding factor 2 (Nuclear factor of activated T-cells 45 kDa)	ILF2 NF45 PRO3063	Homo sapiens (Human)	IPR006116;IPR006561;	neutrophil degranulation [GO:0043312]; positive regulation of transcription, DNA-templated [GO:0045893]; transcription, DNA-templated [GO:0006351]	extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; double-stranded RNA binding [GO:0003725]; RNA binding [GO:0003723]; transferase activity [GO:0016740]	390
Q12906	ILF3_HUMAN	reviewed	Interleukin enhancer-binding factor 3 (Double-stranded RNA-binding protein 76) (DRBP76) (M-phase phosphoprotein 4) (MPP4) (Nuclear factor associated with dsRNA) (NFAR) (Nuclear factor of activated T-cells 90 kDa) (NF-AT-90) (Translational control protein 80) (TCP80)	ILF3 DRBF MPHOSPH4 NF90	Homo sapiens (Human)	IPR014720;IPR006561;IPR033099;	defense response to virus [GO:0051607]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of translation [GO:0017148]; negative regulation of viral genome replication [GO:0045071]; positive regulation of transcription, DNA-templated [GO:0045893]; protein phosphorylation [GO:0006468]; transcription, DNA-templated [GO:0006351]	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	DNA binding [GO:0003677]; double-stranded RNA binding [GO:0003725]; RNA binding [GO:0003723]	894
P02533	K1C14_HUMAN	reviewed	Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)	KRT14	Homo sapiens (Human)	IPR001664;IPR018039;IPR002957;	aging [GO:0007568]; cornification [GO:0070268]; epidermis development [GO:0008544]; hair cycle [GO:0042633]; hemidesmosome assembly [GO:0031581]; intermediate filament bundle assembly [GO:0045110]; keratinization [GO:0031424]; response to ionizing radiation [GO:0010212]; response to zinc ion [GO:0010043]	basal part of cell [GO:0045178]; cell periphery [GO:0071944]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; intermediate filament [GO:0005882]; keratin filament [GO:0045095]; nucleus [GO:0005634]	keratin filament binding [GO:1990254]; structural constituent of cytoskeleton [GO:0005200]	472
P08779	K1C16_HUMAN	reviewed	Keratin, type I cytoskeletal 16 (Cytokeratin-16) (CK-16) (Keratin-16) (K16)	KRT16 KRT16A	Homo sapiens (Human)	IPR001664;IPR018039;IPR002957;	aging [GO:0007568]; cell proliferation [GO:0008283]; cornification [GO:0070268]; cytoskeleton organization [GO:0007010]; epidermis development [GO:0008544]; establishment of skin barrier [GO:0061436]; hair cycle [GO:0042633]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; intermediate filament cytoskeleton organization [GO:0045104]; keratinization [GO:0031424]; keratinocyte differentiation [GO:0030216]; keratinocyte migration [GO:0051546]; morphogenesis of an epithelium [GO:0002009]; negative regulation of cell migration [GO:0030336]	cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; intermediate filament [GO:0005882]; nucleus [GO:0005634]	structural constituent of cytoskeleton [GO:0005200]	473
P13647	K2C5_HUMAN	reviewed	Keratin, type II cytoskeletal 5 (58 kDa cytokeratin) (Cytokeratin-5) (CK-5) (Keratin-5) (K5) (Type-II keratin Kb5)	KRT5	Homo sapiens (Human)	IPR001664;IPR018039;IPR032444;IPR003054;	cornification [GO:0070268]; epidermis development [GO:0008544]; hemidesmosome assembly [GO:0031581]; keratinization [GO:0031424]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; intermediate filament [GO:0005882]; keratin filament [GO:0045095]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	scaffold protein binding [GO:0097110]; structural constituent of cytoskeleton [GO:0005200]	590
P02538	K2C6A_HUMAN	reviewed	Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Cytokeratin-6D) (CK-6D) (Keratin-6A) (K6A) (Type-II keratin Kb6) (allergen Hom s 5)	KRT6A K6A KRT6D	Homo sapiens (Human)	IPR001664;IPR018039;IPR032444;IPR003054;	antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; cell differentiation [GO:0030154]; cornification [GO:0070268]; cytolysis in other organism involved in symbiotic interaction [GO:0051801]; defense response to Gram-positive bacterium [GO:0050830]; keratinization [GO:0031424]; morphogenesis of an epithelium [GO:0002009]; negative regulation of cytolysis by symbiont of host cells [GO:0001899]; negative regulation of entry of bacterium into host cell [GO:2000536]; positive regulation of cell proliferation [GO:0008284]; wound healing [GO:0042060]	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; keratin filament [GO:0045095]; membrane [GO:0016020]; nucleus [GO:0005634]	structural constituent of cytoskeleton [GO:0005200]	564
P46013	KI67_HUMAN	reviewed	Proliferation marker protein Ki-67 (Antigen identified by monoclonal antibody Ki-67) (Antigen KI-67) (Antigen Ki67)	MKI67	Homo sapiens (Human)	IPR000253;IPR012568;IPR029334;IPR008984;	cell cycle [GO:0007049]; cell proliferation [GO:0008283]; regulation of chromatin organization [GO:1902275]; regulation of chromosome segregation [GO:0051983]; regulation of mitotic nuclear division [GO:0007088]	chromosome [GO:0005694]; membrane [GO:0016020]; nuclear body [GO:0016604]; nucleolus [GO:0005730]; nucleus [GO:0005634]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; protein C-terminus binding [GO:0008022]; RNA binding [GO:0003723]	3256
P05455	LA_HUMAN	reviewed	Lupus La protein (La autoantigen) (La ribonucleoprotein) (Sjoegren syndrome type B antigen) (SS-B)	SSB	Homo sapiens (Human)	IPR006630;IPR014886;IPR002344;IPR035979;IPR000504;IPR036388;IPR036390;	histone mRNA metabolic process [GO:0008334]; IRES-dependent viral translational initiation [GO:0075522]; nuclear histone mRNA catabolic process [GO:0071045]; protein localization to cytoplasmic stress granule [GO:1903608]; tRNA 3'-end processing [GO:0042780]; tRNA 5'-leader removal [GO:0001682]; tRNA export from nucleus [GO:0006409]; tRNA modification [GO:0006400]; tRNA processing [GO:0008033]	cytoplasm [GO:0005737]; intracellular ribonucleoprotein complex [GO:0030529]; nuclear chromosome, telomeric region [GO:0000784]; nucleus [GO:0005634]	mRNA binding [GO:0003729]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]; sequence-specific mRNA binding [GO:1990825]; tRNA binding [GO:0000049]	408
Q6PKG0	LARP1_HUMAN	reviewed	La-related protein 1 (La ribonucleoprotein domain family member 1)	LARP1 KIAA0731 LARP	Homo sapiens (Human)	IPR006607;IPR006630;IPR036388;IPR036390;	cell proliferation [GO:0008283]; cellular response to rapamycin [GO:0072752]; mRNA stabilization [GO:0048255]; negative regulation of translation [GO:0017148]; positive regulation of macroautophagy [GO:0016239]; positive regulation of viral genome replication [GO:0045070]; response to amino acid starvation [GO:1990928]; TORC1 signaling [GO:0038202]; TOR signaling [GO:0031929]; translational initiation [GO:0006413]	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; membrane [GO:0016020]	cadherin binding [GO:0045296]; eukaryotic initiation factor 4E binding [GO:0008190]; mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]; RNA binding [GO:0003723]; RNA cap binding [GO:0000339]; translation activator activity [GO:0008494]; translation initiation factor binding [GO:0031369]	1096
P42704	LPPRC_HUMAN	reviewed	Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein) (LRP 130) (GP130)	LRPPRC LRP130	Homo sapiens (Human)	IPR033490;IPR002885;IPR033443;IPR011990;	mitochondrion transport along microtubule [GO:0047497]; mRNA transport [GO:0051028]; negative regulation of mitochondrial RNA catabolic process [GO:0000961]; regulation of mitochondrial translation [GO:0070129]; regulation of transcription, DNA-templated [GO:0006355]; RNA modification [GO:0009451]; transcription, DNA-templated [GO:0006351]	condensed nuclear chromosome [GO:0000794]; cytoskeleton [GO:0005856]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; microtubule [GO:0005874]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nuclear inner membrane [GO:0005637]; nuclear outer membrane [GO:0005640]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]	beta-tubulin binding [GO:0048487]; endonuclease activity [GO:0004519]; microtubule binding [GO:0008017]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]; ubiquitin protein ligase binding [GO:0031625]	1394
P43243	MATR3_HUMAN	reviewed	Matrin-3	MATR3 KIAA0723	Homo sapiens (Human)	IPR034928;IPR034930;IPR000690;IPR003604;IPR035979;IPR000504;	activation of innate immune response [GO:0002218]; innate immune response [GO:0045087]; posttranscriptional regulation of gene expression [GO:0010608]	membrane [GO:0016020]; nuclear inner membrane [GO:0005637]; nuclear matrix [GO:0016363]	identical protein binding [GO:0042802]; miRNA binding [GO:0035198]; RNA binding [GO:0003723]; structural molecule activity [GO:0005198]; zinc ion binding [GO:0008270]	847
Q9BQG0	MBB1A_HUMAN	reviewed	Myb-binding protein 1A	MYBBP1A P160	Homo sapiens (Human)	IPR011989;IPR016024;IPR007015;	cellular response to glucose starvation [GO:0042149]; circadian regulation of gene expression [GO:0032922]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; negative regulation of transcription, DNA-templated [GO:0045892]; nucleocytoplasmic transport [GO:0006913]; osteoblast differentiation [GO:0001649]; positive regulation of anoikis [GO:2000210]; positive regulation of cell cycle arrest [GO:0071158]; positive regulation of gene expression, epigenetic [GO:0045815]; regulation of transcription, DNA-templated [GO:0006355]; respiratory electron transport chain [GO:0022904]; transcription, DNA-templated [GO:0006351]	cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; NLS-dependent protein nuclear import complex [GO:0042564]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	core promoter binding [GO:0001047]; DNA-directed DNA polymerase activity [GO:0003887]; RNA binding [GO:0003723]; sequence-specific DNA binding [GO:0043565]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]	1328
Q8WTT2	NOC3L_HUMAN	reviewed	Nucleolar complex protein 3 homolog (NOC3 protein homolog) (Factor for adipocyte differentiation 24) (NOC3-like protein) (Nucleolar complex-associated protein 3-like protein)	NOC3L AD24 C10orf117 FAD24	Homo sapiens (Human)	IPR011989;IPR016024;IPR005612;IPR011501;IPR016903;	fat cell differentiation [GO:0045444]	mitochondrion [GO:0005739]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleus [GO:0005634]	chromatin binding [GO:0003682]; RNA binding [GO:0003723]	800
Q9BZE4	NOG1_HUMAN	reviewed	Nucleolar GTP-binding protein 1 (Chronic renal failure gene protein) (GTP-binding protein NGB)	GTPBP4 CRFG NOG1	Homo sapiens (Human)	IPR031167;IPR006073;IPR024926;IPR010674;IPR012973;IPR027417;IPR005225;	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; negative regulation of cell-cell adhesion [GO:0022408]; negative regulation of cell migration [GO:0030336]; negative regulation of cell proliferation [GO:0008285]; negative regulation of collagen binding [GO:0033342]; negative regulation of DNA replication [GO:0008156]; negative regulation of protein ubiquitination [GO:0031397]; osteoblast differentiation [GO:0001649]; protein stabilization [GO:0050821]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; RNA binding [GO:0003723]	634
Q13823	NOG2_HUMAN	reviewed	Nucleolar GTP-binding protein 2 (Autoantigen NGP-1)	GNL2 NGP1	Homo sapiens (Human)	IPR030378;IPR023179;IPR006073;IPR027368;IPR024929;IPR012971;IPR027417;	ribosome biogenesis [GO:0042254]	membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; RNA binding [GO:0003723]	731
P46087	NOP2_HUMAN	reviewed	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase (EC 2.1.1.-) (Nucleolar protein 1) (Nucleolar protein 2 homolog) (Proliferating-cell nucleolar antigen p120) (Proliferation-associated nucleolar protein p120)	NOP2 NOL1 NSUN1	Homo sapiens (Human)	IPR018314;IPR031341;IPR001678;IPR011023;IPR012586;IPR023267;IPR023273;IPR029063;	maturation of LSU-rRNA [GO:0000470]; positive regulation of cell proliferation [GO:0008284]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; ribosomal large subunit assembly [GO:0000027]; rRNA base methylation [GO:0070475]	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]	RNA binding [GO:0003723]; rRNA (cytosine-C5-)-methyltransferase activity [GO:0009383]	812
O00567	NOP56_HUMAN	reviewed	Nucleolar protein 56 (Nucleolar protein 5A)	NOP56 NOL5A	Homo sapiens (Human)	IPR012974;IPR002687;IPR036070;IPR012976;	rRNA modification [GO:0000154]; rRNA processing [GO:0006364]	box C/D snoRNP complex [GO:0031428]; cytoplasm [GO:0005737]; fibrillar center [GO:0001650]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; pre-snoRNP complex [GO:0070761]; small nucleolar ribonucleoprotein complex [GO:0005732]; small-subunit processome [GO:0032040]	cadherin binding [GO:0045296]; histone methyltransferase binding [GO:1990226]; RNA binding [GO:0003723]; snoRNA binding [GO:0030515]	594
O60287	NPA1P_HUMAN	reviewed	Nucleolar pre-ribosomal-associated protein 1 (Nucleolar protein 254 kDa) (URB1 ribosome biogenesis 1 homolog)	URB1 C21orf108 KIAA0539 NOP254 NPA1	Homo sapiens (Human)	IPR011989;IPR016024;IPR032436;IPR021714;		fibrillar center [GO:0001650]; nucleolus [GO:0005730]	RNA binding [GO:0003723]	2271
