Query	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Cross-reference (InterPro)	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)
P22626	P22626	ROA2_HUMAN	reviewed	Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1)	HNRNPA2B1 HNRPA2B1	Homo sapiens (Human)	353	IPR034489;IPR034486;IPR035979;IPR000504;	G-quadruplex DNA unwinding [GO:0044806]; interleukin-12-mediated signaling pathway [GO:0035722]; miRNA transport [GO:1990428]; mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of telomerase RNA reverse transcriptase activity [GO:1905663]; positive regulation of telomere maintenance via telomere lengthening [GO:1904358]; primary miRNA processing [GO:0031053]; RNA metabolic process [GO:0016070]; RNA transport [GO:0050658]	Cajal body [GO:0015030]; catalytic step 2 spliceosome [GO:0071013]; chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]	G-rich strand telomeric DNA binding [GO:0098505]; identical protein binding [GO:0042802]; miRNA binding [GO:0035198]; mRNA 3'-UTR binding [GO:0003730]; N6-methyladenosine-containing RNA binding [GO:1990247]; pre-mRNA intronic binding [GO:0097157]; RNA binding [GO:0003723]; single-stranded telomeric DNA binding [GO:0043047]
O15230	O15230	LAMA5_HUMAN	reviewed	Laminin subunit alpha-5 (Laminin-10 subunit alpha) (Laminin-11 subunit alpha) (Laminin-15 subunit alpha)	LAMA5 KIAA0533 KIAA1907	Homo sapiens (Human)	3695	IPR013320;IPR000742;IPR008979;IPR009254;IPR010307;IPR002049;IPR001791;IPR000034;IPR008211;IPR001368;	angiogenesis [GO:0001525]; branching involved in salivary gland morphogenesis [GO:0060445]; branching involved in ureteric bud morphogenesis [GO:0001658]; cell differentiation [GO:0030154]; cell migration [GO:0016477]; cell proliferation [GO:0008283]; cell recognition [GO:0008037]; cilium assembly [GO:0060271]; cytoskeleton organization [GO:0007010]; embryo development [GO:0009790]; endothelial cell differentiation [GO:0045446]; extracellular matrix organization [GO:0030198]; focal adhesion assembly [GO:0048041]; hair follicle development [GO:0001942]; integrin-mediated signaling pathway [GO:0007229]; lung development [GO:0030324]; morphogenesis of a polarized epithelium [GO:0001738]; morphogenesis of embryonic epithelium [GO:0016331]; muscle organ development [GO:0007517]; neural crest cell migration [GO:0001755]; odontogenesis of dentin-containing tooth [GO:0042475]; protein localization to plasma membrane [GO:0072659]; regulation of cell adhesion [GO:0030155]; regulation of cell migration [GO:0030334]; regulation of cell proliferation [GO:0042127]; regulation of embryonic development [GO:0045995]; substrate adhesion-dependent cell spreading [GO:0034446]	basal lamina [GO:0005605]; basement membrane [GO:0005604]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; laminin-10 complex [GO:0043259]; laminin-11 complex [GO:0043260]; laminin-5 complex [GO:0005610]; nucleus [GO:0005634]; synaptic cleft [GO:0043083]	integrin binding [GO:0005178]; structural molecule activity [GO:0005198]
Q9UHB6	Q9UHB6	LIMA1_HUMAN	reviewed	LIM domain and actin-binding protein 1 (Epithelial protein lost in neoplasm)	LIMA1 EPLIN SREBP3 PP624	Homo sapiens (Human)	759	IPR028740;IPR001781;	actin filament bundle assembly [GO:0051017]; negative regulation of actin filament depolymerization [GO:0030835]; ruffle organization [GO:0031529]	actin cytoskeleton [GO:0015629]; brush border [GO:0005903]; cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; focal adhesion [GO:0005925]; stress fiber [GO:0001725]	actin filament binding [GO:0051015]; actin monomer binding [GO:0003785]; cadherin binding [GO:0045296]; metal ion binding [GO:0046872]
P43243	P43243	MATR3_HUMAN	reviewed	Matrin-3	MATR3 KIAA0723	Homo sapiens (Human)	847	IPR034928;IPR034930;IPR000690;IPR003604;IPR035979;IPR000504;	activation of innate immune response [GO:0002218]; innate immune response [GO:0045087]; posttranscriptional regulation of gene expression [GO:0010608]	membrane [GO:0016020]; nuclear inner membrane [GO:0005637]; nuclear matrix [GO:0016363]	identical protein binding [GO:0042802]; miRNA binding [GO:0035198]; RNA binding [GO:0003723]; structural molecule activity [GO:0005198]; zinc ion binding [GO:0008270]
Q86SQ0	Q86SQ0	PHLB2_HUMAN	reviewed	Pleckstrin homology-like domain family B member 2 (Protein LL5-beta)	PHLDB2 LL5B	Homo sapiens (Human)	1253	IPR011993;IPR001849;	establishment of protein localization [GO:0045184]; microtubule cytoskeleton organization [GO:0000226]; negative regulation of focal adhesion assembly [GO:0051895]; negative regulation of stress fiber assembly [GO:0051497]; negative regulation of wound healing, spreading of epidermal cells [GO:1903690]; positive regulation of basement membrane assembly involved in embryonic body morphogenesis [GO:1904261]; regulation of epithelial to mesenchymal transition [GO:0010717]; regulation of gastrulation [GO:0010470]; regulation of microtubule cytoskeleton organization [GO:0070507]	basal cortex [GO:0045180]; cell leading edge [GO:0031252]; cytosol [GO:0005829]; intermediate filament cytoskeleton [GO:0045111]; plasma membrane [GO:0005886]	cadherin binding [GO:0045296]
Q9H5N1	Q9H5N1	RABE2_HUMAN	reviewed	Rab GTPase-binding effector protein 2 (Rabaptin-5beta)	RABEP2 RABPT5B	Homo sapiens (Human)	569	IPR003914;IPR029882;IPR018514;IPR015390;	endocytosis [GO:0006897]; protein transport [GO:0015031]	cytosol [GO:0005829]; early endosome [GO:0005769]; intracellular membrane-bounded organelle [GO:0043231]	growth factor activity [GO:0008083]; GTPase activator activity [GO:0005096]
Q86SQ7	Q86SQ7	SDCG8_HUMAN	reviewed	Serologically defined colon cancer antigen 8 (Antigen NY-CO-8) (Centrosomal colon cancer autoantigen protein) (hCCCAP)	SDCCAG8 CCCAP NPHP10 HSPC085	Homo sapiens (Human)	713	IPR031887;	centrosome cycle [GO:0007098]; ciliary basal body-plasma membrane docking [GO:0097711]; establishment of cell polarity [GO:0030010]; G2/M transition of mitotic cell cycle [GO:0000086]; neuron migration [GO:0001764]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; tube formation [GO:0035148]	cell-cell junction [GO:0005911]; centriolar satellite [GO:0034451]; centriole [GO:0005814]; centrosome [GO:0005813]; cytosol [GO:0005829]	
O60264	O60264	SMCA5_HUMAN	reviewed	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A5) (EC 3.6.4.-) (Sucrose nonfermenting protein 2 homolog) (hSNF2H)	SMARCA5 SNF2H WCRF135	Homo sapiens (Human)	1052	IPR020838;IPR014001;IPR001650;IPR009057;IPR029915;IPR015194;IPR036306;IPR027417;IPR001005;IPR017884;IPR015195;IPR000330;	ATP-dependent chromatin remodeling [GO:0043044]; CENP-A containing nucleosome assembly [GO:0034080]; chromatin remodeling [GO:0006338]; covalent chromatin modification [GO:0016569]; DNA-templated transcription, initiation [GO:0006352]; nucleosome assembly [GO:0006334]; nucleosome positioning [GO:0016584]; positive regulation of gene expression, epigenetic [GO:0045815]; regulation of transcription from RNA polymerase II promoter [GO:0006357]	condensed chromosome [GO:0000793]; fibrillar center [GO:0001650]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; NURF complex [GO:0016589]; RSF complex [GO:0031213]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; nucleosome binding [GO:0031491]
O95347	O95347	SMC2_HUMAN	reviewed	Structural maintenance of chromosomes protein 2 (SMC protein 2) (SMC-2) (Chromosome-associated protein E) (hCAP-E) (XCAP-E homolog)	SMC2 CAPE SMC2L1 PRO0324	Homo sapiens (Human)	1197	IPR027417;IPR003395;IPR024704;IPR027120;IPR010935;IPR036277;	cell division [GO:0051301]; kinetochore organization [GO:0051383]; meiotic chromosome condensation [GO:0010032]; meiotic chromosome segregation [GO:0045132]; mitotic chromosome condensation [GO:0007076]	condensed chromosome [GO:0000793]; condensin complex [GO:0000796]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nuclear chromosome [GO:0000228]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	ATP binding [GO:0005524]; protein heterodimerization activity [GO:0046982]
Q9BYN0	Q9BYN0	SRXN1_HUMAN	reviewed	Sulfiredoxin-1 (EC 1.8.98.2)	SRXN1 C20orf139 SRX SRX1	Homo sapiens (Human)	137	IPR003115;IPR036086;IPR016692;	cellular response to oxidative stress [GO:0034599]; response to oxidative stress [GO:0006979]	cytosol [GO:0005829]	ATP binding [GO:0005524]; oxidoreductase activity, acting on a sulfur group of donors [GO:0016667]; sulfiredoxin activity [GO:0032542]
O75152	O75152	ZC11A_HUMAN	reviewed	Zinc finger CCCH domain-containing protein 11A	ZC3H11A KIAA0663 ZC3HDC11A	Homo sapiens (Human)	810	IPR000571;IPR036855;	mRNA 3'-end processing [GO:0031124]; mRNA export from nucleus [GO:0006406]; poly(A)+ mRNA export from nucleus [GO:0016973]; RNA export from nucleus [GO:0006405]; termination of RNA polymerase II transcription [GO:0006369]	nucleoplasm [GO:0005654]	metal ion binding [GO:0046872]; RNA binding [GO:0003723]
