Uniprot Entry	Rep1	Rep2
>sp|O43399-5|TPD54_HUMAN Isoform 5 of Tumor protein D54 OS=Homo sapiens GN=TPD52L2	1390.09	1264.23
>sp|Q9UL46|PSME2_HUMAN Proteasome activator complex subunit 2 OS=Homo sapiens GN=PSME2 PE=1 SV=4	884.42	1058.42
>sp|Q15102|PA1B3_HUMAN Platelet-activating factor acetylhydrolase IB subunit gamma OS=Homo sapiens GN=PAFAH1B3 PE=1 SV=1	1018.32	646.50
>sp|Q99439|CNN2_HUMAN Calponin-2 OS=Homo sapiens GN=CNN2 PE=1 SV=4	1468.67	1386.16
>sp|P13797|PLST_HUMAN Plastin-3 OS=Homo sapiens GN=PLS3 PE=1 SV=4	1459.61	1695.72
">sp|P13804|ETFA_HUMAN Electron transfer flavoprotein subunit alpha, mitochondrial OS=Homo sapiens GN=ETFA PE=1 SV=1"	3324.42	2097.75
>sp|P49755|TMEDA_HUMAN Transmembrane emp24 domain-containing protein 10 OS=Homo sapiens GN=TMED10 PE=1 SV=2	1791.40	1620.90
>sp|P22087|FBRL_HUMAN rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens GN=FBL PE=1 SV=2	2070.08	2624.30
>sp|P35609|ACTN2_HUMAN Alpha-actinin-2 OS=Homo sapiens GN=ACTN2 PE=1 SV=1	2033.04	1380.68
">sp|P11586|C1TC_HUMAN C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=1 SV=3"	1406.63	1720.10
>sp|P05198|IF2A_HUMAN Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens GN=EIF2S1 PE=1 SV=3	1614.55	1870.74
>sp|Q13347|EIF3I_HUMAN Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens GN=EIF3I PE=1 SV=1	1448.51	1645.42
">sp|Q00325-2|MPCP_HUMAN Isoform B of Phosphate carrier protein, mitochondrial OS=Homo sapiens GN=SLC25A3"	2205.62	2440.70
">sp|P42167-2|LAP2B_HUMAN Isoform Gamma of Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens GN=TMPO"	1664.51	1085.46
>sp|P51572|BAP31_HUMAN B-cell receptor-associated protein 31 OS=Homo sapiens GN=BCAP31 PE=1 SV=3	564.33	869.19
>sp|P68036|UB2L3_HUMAN Ubiquitin-conjugating enzyme E2 L3 OS=Homo sapiens GN=UBE2L3 PE=1 SV=1	1637.31	2031.63
>sp|P78417|GSTO1_HUMAN Glutathione S-transferase omega-1 OS=Homo sapiens GN=GSTO1 PE=1 SV=2	2734.98	3523.68
>sp|P00403|COX2_HUMAN Cytochrome c oxidase subunit 2 OS=Homo sapiens GN=MT-CO2 PE=1 SV=1	4816.84	2339.46
>sp|Q96AG4|LRC59_HUMAN Leucine-rich repeat-containing protein 59 OS=Homo sapiens GN=LRRC59 PE=1 SV=1	2308.08	1271.93
">sp|P42167|LAP2B_HUMAN Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens GN=TMPO PE=1 SV=2"	1625.35	1103.71
>sp|Q7KZF4|SND1_HUMAN Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens GN=SND1 PE=1 SV=1	1088.87	1546.84
>sp|Q9UMS4|PRP19_HUMAN Pre-mRNA-processing factor 19 OS=Homo sapiens GN=PRPF19 PE=1 SV=1	1054.70	1518.04
">sp|P34897-3|GLYM_HUMAN Isoform 3 of Serine hydroxymethyltransferase, mitochondrial OS=Homo sapiens GN=SHMT2"	4211.05	3552.04
>sp|Q92598|HS105_HUMAN Heat shock protein 105 kDa OS=Homo sapiens GN=HSPH1 PE=1 SV=1	1459.29	1371.86
>sp|Q92598-2|HS105_HUMAN Isoform Beta of Heat shock protein 105 kDa OS=Homo sapiens GN=HSPH1	1470.66	1370.84
">sp|P38159|RBMX_HUMAN RNA-binding motif protein, X chromosome OS=Homo sapiens GN=RBMX PE=1 SV=3"	1736.48	1120.79
>sp|P16989|DBPA_HUMAN DNA-binding protein A OS=Homo sapiens GN=CSDA PE=1 SV=4	2419.68	2420.32
>sp|P09234|RU1C_HUMAN U1 small nuclear ribonucleoprotein C OS=Homo sapiens GN=SNRPC PE=1 SV=1	1243.97	1750.63
>sp|Q9BYZ2|LDH6B_HUMAN L-lactate dehydrogenase A-like 6B OS=Homo sapiens GN=LDHAL6B PE=1 SV=3	1311.03	1555.71
>sp|Q9Y5S9|RBM8A_HUMAN RNA-binding protein 8A OS=Homo sapiens GN=RBM8A PE=1 SV=1	944.42	1705.35
>sp|Q9BZK3|NACP1_HUMAN Putative nascent polypeptide-associated complex subunit alpha-like protein OS=Homo sapiens GN=NACAP1 PE=5 SV=1	1773.65	972.50
>sp|Q15149-8|PLEC_HUMAN Isoform 8 of Plectin OS=Homo sapiens GN=PLEC	4128.63	4601.05
>sp|Q15149-9|PLEC_HUMAN Isoform 9 of Plectin OS=Homo sapiens GN=PLEC	4124.21	4596.12
">sp|O14561|ACPM_HUMAN Acyl carrier protein, mitochondrial OS=Homo sapiens GN=NDUFAB1 PE=1 SV=3"	2083.09	2051.87
>sp|Q9Y266|NUDC_HUMAN Nuclear migration protein nudC OS=Homo sapiens GN=NUDC PE=1 SV=1	862.49	2116.04
>sp|Q15149-3|PLEC_HUMAN Isoform 3 of Plectin OS=Homo sapiens GN=PLEC	4122.98	4584.78
>sp|Q15149-2|PLEC_HUMAN Isoform 2 of Plectin OS=Homo sapiens GN=PLEC	4113.20	4583.90
>sp|Q15149-4|PLEC_HUMAN Isoform 4 of Plectin OS=Homo sapiens GN=PLEC	4126.05	4574.00
>sp|O15145|ARPC3_HUMAN Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens GN=ARPC3 PE=1 SV=3	1049.83	1639.14
">sp|P04181|OAT_HUMAN Ornithine aminotransferase, mitochondrial OS=Homo sapiens GN=OAT PE=1 SV=1"	1294.50	1321.89
>sp|P20618|PSB1_HUMAN Proteasome subunit beta type-1 OS=Homo sapiens GN=PSMB1 PE=1 SV=2	2414.86	1282.43
>sp|P41091|IF2G_HUMAN Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens GN=EIF2S3 PE=1 SV=3	1474.14	1714.22
">sp|P56385|ATP5I_HUMAN ATP synthase subunit e, mitochondrial OS=Homo sapiens GN=ATP5I PE=1 SV=2"	1780.78	3498.02
>sp|Q15149|PLEC_HUMAN Plectin OS=Homo sapiens GN=PLEC PE=1 SV=3	4038.66	4526.85
>sp|P25789|PSA4_HUMAN Proteasome subunit alpha type-4 OS=Homo sapiens GN=PSMA4 PE=1 SV=1	1146.95	1894.27
>sp|P51571|SSRD_HUMAN Translocon-associated protein subunit delta OS=Homo sapiens GN=SSR4 PE=1 SV=1	1061.87	1462.17
">sp|Q07666|KHDR1_HUMAN KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Homo sapiens GN=KHDRBS1 PE=1 SV=1"	729.18	931.60
>sp|P08133|ANXA6_HUMAN Annexin A6 OS=Homo sapiens GN=ANXA6 PE=1 SV=3	7.51	8.49
>sp|Q01813|K6PP_HUMAN 6-phosphofructokinase type C OS=Homo sapiens GN=PFKP PE=1 SV=2	2843.75	2061.29
>sp|Q9UHV9|PFD2_HUMAN Prefoldin subunit 2 OS=Homo sapiens GN=PFDN2 PE=1 SV=1	1126.33	618.61
>sp|P53396|ACLY_HUMAN ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3	2631.12	1975.51
>sp|Q9NP97|DLRB1_HUMAN Dynein light chain roadblock-type 1 OS=Homo sapiens GN=DYNLRB1 PE=1 SV=3	934.02	978.53
>sp|Q9NQC3-5|RTN4_HUMAN Isoform 5 of Reticulon-4 OS=Homo sapiens GN=RTN4	1385.84	2218.49
">sp|P20674|COX5A_HUMAN Cytochrome c oxidase subunit 5A, mitochondrial OS=Homo sapiens GN=COX5A PE=1 SV=2"	1658.78	743.56
>sp|Q9UKM9|RALY_HUMAN RNA-binding protein Raly OS=Homo sapiens GN=RALY PE=1 SV=1	610.60	531.10
>sp|Q9Y3F4|STRAP_HUMAN Serine-threonine kinase receptor-associated protein OS=Homo sapiens GN=STRAP PE=1 SV=1	1200.93	2004.45
>sp|P41567|EIF1_HUMAN Eukaryotic translation initiation factor 1 OS=Homo sapiens GN=EIF1 PE=1 SV=1	878.46	561.88
>sp|Q9UKM9-2|RALY_HUMAN Isoform 1 of RNA-binding protein Raly OS=Homo sapiens GN=RALY	605.68	526.81
>sp|Q9Y6B6|SAR1B_HUMAN GTP-binding protein SAR1b OS=Homo sapiens GN=SAR1B PE=1 SV=1	4138.52	685.73
>sp|P61026|RAB10_HUMAN Ras-related protein Rab-10 OS=Homo sapiens GN=RAB10 PE=1 SV=1	1025.38	1665.21
">sp|P40939|ECHA_HUMAN Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens GN=HADHA PE=1 SV=2"	3208.97	2628.66
>sp|Q96K17|BT3L4_HUMAN Transcription factor BTF3 homolog 4 OS=Homo sapiens GN=BTF3L4 PE=1 SV=1	773.52	1002.49
>sp|P09496-2|CLCA_HUMAN Isoform Non-brain of Clathrin light chain A OS=Homo sapiens GN=CLTA	272.65	279.73
">sp|P22695|QCR2_HUMAN Cytochrome b-c1 complex subunit 2, mitochondrial OS=Homo sapiens GN=UQCRC2 PE=1 SV=3"	2203.60	3908.18
>sp|P22061-2|PIMT_HUMAN Isoform 2 of Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Homo sapiens GN=PCMT1	2126.64	1503.50
>sp|O00571|DDX3X_HUMAN ATP-dependent RNA helicase DDX3X OS=Homo sapiens GN=DDX3X PE=1 SV=3	1826.38	1209.34
>sp|P61224|RAP1B_HUMAN Ras-related protein Rap-1b OS=Homo sapiens GN=RAP1B PE=1 SV=1	1342.67	1602.62
>sp|Q9Y265|RUVB1_HUMAN RuvB-like 1 OS=Homo sapiens GN=RUVBL1 PE=1 SV=1	2658.78	2163.04
>sp|P18206-2|VINC_HUMAN Isoform 1 of Vinculin OS=Homo sapiens GN=VCL	929.90	961.18
>sp|Q9UJZ1|STML2_HUMAN Stomatin-like protein 2 OS=Homo sapiens GN=STOML2 PE=1 SV=1	1257.59	1282.71
>sp|P00491|PNPH_HUMAN Purine nucleoside phosphorylase OS=Homo sapiens GN=PNP PE=1 SV=2	1943.21	2567.17
>sp|O95292|VAPB_HUMAN Vesicle-associated membrane protein-associated protein B/C OS=Homo sapiens GN=VAPB PE=1 SV=3	812.39	871.48
>sp|P34932|HSP74_HUMAN Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4	2295.88	2245.10
">sp|P33316-2|DUT_HUMAN Isoform 2 of Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial OS=Homo sapiens GN=DUT"	980.69	869.01
>sp|O43768-2|ENSA_HUMAN Isoform 2 of Alpha-endosulfine OS=Homo sapiens GN=ENSA	783.04	1389.39
>sp|P49321-2|NASP_HUMAN Isoform 2 of Nuclear autoantigenic sperm protein OS=Homo sapiens GN=NASP	810.31	664.96
>sp|Q9UKY7-2|CDV3_HUMAN Isoform 2 of Protein CDV3 homolog OS=Homo sapiens GN=CDV3	1157.98	915.04
">sp|P18859|ATP5J_HUMAN ATP synthase-coupling factor 6, mitochondrial OS=Homo sapiens GN=ATP5J PE=1 SV=1"	942.88	2614.14
">sp|Q13011|ECH1_HUMAN Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Homo sapiens GN=ECH1 PE=1 SV=2"	980.02	1473.17
">sp|P23381|SYWC_HUMAN Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens GN=WARS PE=1 SV=2"	1076.04	796.00
">sp|P35527|K1C9_HUMAN Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3"	1914.38	2117.18
>sp|Q96FW1|OTUB1_HUMAN Ubiquitin thioesterase OTUB1 OS=Homo sapiens GN=OTUB1 PE=1 SV=2	2284.13	2015.14
>sp|P63279|UBC9_HUMAN SUMO-conjugating enzyme UBC9 OS=Homo sapiens GN=UBE2I PE=1 SV=1	613.18	1190.55
">sp|P09622|DLDH_HUMAN Dihydrolipoyl dehydrogenase, mitochondrial OS=Homo sapiens GN=DLD PE=1 SV=2"	2148.60	2133.50
>sp|P31942|HNRH3_HUMAN Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens GN=HNRNPH3 PE=1 SV=2	901.32	1173.15
>sp|O00154-4|BACH_HUMAN Isoform 4 of Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens GN=ACOT7	1167.47	2049.32
>sp|P13796|PLSL_HUMAN Plastin-2 OS=Homo sapiens GN=LCP1 PE=1 SV=6	294.41	374.26
>sp|O15347|HMGB3_HUMAN High mobility group protein B3 OS=Homo sapiens GN=HMGB3 PE=1 SV=4	583.73	595.42
>sp|Q15382|RHEB_HUMAN GTP-binding protein Rheb OS=Homo sapiens GN=RHEB PE=1 SV=1	79.53	3775.50
>sp|P62304|RUXE_HUMAN Small nuclear ribonucleoprotein E OS=Homo sapiens GN=SNRPE PE=1 SV=1	275.52	445.81
>sp|P17980|PRS6A_HUMAN 26S protease regulatory subunit 6A OS=Homo sapiens GN=PSMC3 PE=1 SV=3	1303.61	1000.48
>sp|O75396|SC22B_HUMAN Vesicle-trafficking protein SEC22b OS=Homo sapiens GN=SEC22B PE=1 SV=4	609.88	670.16
>sp|P09874|PARP1_HUMAN Poly [ADP-ribose] polymerase 1 OS=Homo sapiens GN=PARP1 PE=1 SV=4	1716.29	1869.62
>sp|O00764|PDXK_HUMAN Pyridoxal kinase OS=Homo sapiens GN=PDXK PE=1 SV=1	896.23	848.46
>sp|P63208|SKP1_HUMAN S-phase kinase-associated protein 1 OS=Homo sapiens GN=SKP1 PE=1 SV=2	573.27	1734.53
>sp|Q9Y2V2|CHSP1_HUMAN Calcium-regulated heat stable protein 1 OS=Homo sapiens GN=CARHSP1 PE=1 SV=2	519.55	250.66
>sp|O15144|ARPC2_HUMAN Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens GN=ARPC2 PE=1 SV=1	1248.44	2158.55
>sp|O76003|GLRX3_HUMAN Glutaredoxin-3 OS=Homo sapiens GN=GLRX3 PE=1 SV=2	1167.54	1256.85
>sp|P00387-2|NB5R3_HUMAN Isoform 2 of NADH-cytochrome b5 reductase 3 OS=Homo sapiens GN=CYB5R3	1811.99	1876.17
>sp|Q14444-2|CAPR1_HUMAN Isoform 2 of Caprin-1 OS=Homo sapiens GN=CAPRIN1	480.18	306.51
>sp|P02786|TFR1_HUMAN Transferrin receptor protein 1 OS=Homo sapiens GN=TFRC PE=1 SV=2	327.14	361.43
>sp|P36873|PP1G_HUMAN Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Homo sapiens GN=PPP1CC PE=1 SV=1	1035.77	1080.46
>sp|Q96KP4|CNDP2_HUMAN Cytosolic non-specific dipeptidase OS=Homo sapiens GN=CNDP2 PE=1 SV=2	1061.96	1132.73
>sp|P61106|RAB14_HUMAN Ras-related protein Rab-14 OS=Homo sapiens GN=RAB14 PE=1 SV=4	906.70	1107.33
>sp|P39656|OST48_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens GN=DDOST PE=1 SV=4	1699.64	2251.97
>sp|P43490|NAMPT_HUMAN Nicotinamide phosphoribosyltransferase OS=Homo sapiens GN=NAMPT PE=1 SV=1	1653.83	1469.75
>sp|P26368-2|U2AF2_HUMAN Isoform 2 of Splicing factor U2AF 65 kDa subunit OS=Homo sapiens GN=U2AF2	1082.40	1082.02
>sp|O60739|EIF1B_HUMAN Eukaryotic translation initiation factor 1b OS=Homo sapiens GN=EIF1B PE=1 SV=2	609.07	519.34
>sp|Q13310-3|PABP4_HUMAN Isoform 3 of Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4	1437.34	881.37
>sp|O14579|COPE_HUMAN Coatomer subunit epsilon OS=Homo sapiens GN=COPE PE=1 SV=3	845.70	1131.13
>sp|P51148|RAB5C_HUMAN Ras-related protein Rab-5C OS=Homo sapiens GN=RAB5C PE=1 SV=2	1139.85	1275.49
>sp|Q13541|4EBP1_HUMAN Eukaryotic translation initiation factor 4E-binding protein 1 OS=Homo sapiens GN=EIF4EBP1 PE=1 SV=3	1843.97	2112.96
>sp|P35998|PRS7_HUMAN 26S protease regulatory subunit 7 OS=Homo sapiens GN=PSMC2 PE=1 SV=3	1326.38	1094.25
>sp|Q14247-3|SRC8_HUMAN Isoform 3 of Src substrate cortactin OS=Homo sapiens GN=CTTN	852.89	1045.38
>sp|Q9Y490|TLN1_HUMAN Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3	1168.30	1001.77
>sp|P30085|KCY_HUMAN UMP-CMP kinase OS=Homo sapiens GN=CMPK1 PE=1 SV=3	1360.63	1349.08
>sp|P62834|RAP1A_HUMAN Ras-related protein Rap-1A OS=Homo sapiens GN=RAP1A PE=1 SV=1	1029.34	1597.00
>sp|P09497-2|CLCB_HUMAN Isoform Non-brain of Clathrin light chain B OS=Homo sapiens GN=CLTB	1377.10	2166.04
>sp|Q9NTK5|OLA1_HUMAN Obg-like ATPase 1 OS=Homo sapiens GN=OLA1 PE=1 SV=2	1033.00	1434.17
">sp|O75947|ATP5H_HUMAN ATP synthase subunit d, mitochondrial OS=Homo sapiens GN=ATP5H PE=1 SV=3"	1538.53	2542.77
>sp|P43686|PRS6B_HUMAN 26S protease regulatory subunit 6B OS=Homo sapiens GN=PSMC4 PE=1 SV=2	1403.49	1010.81
>sp|P62191|PRS4_HUMAN 26S protease regulatory subunit 4 OS=Homo sapiens GN=PSMC1 PE=1 SV=1	1099.92	751.95
">sp|P30049|ATPD_HUMAN ATP synthase subunit delta, mitochondrial OS=Homo sapiens GN=ATP5D PE=1 SV=2"	1268.85	2986.62
>sp|P11766|ADHX_HUMAN Alcohol dehydrogenase class-3 OS=Homo sapiens GN=ADH5 PE=1 SV=4	1750.14	2297.20
">sp|Q96FJ2|DYL2_HUMAN Dynein light chain 2, cytoplasmic OS=Homo sapiens GN=DYNLL2 PE=1 SV=1"	1090.11	1166.07
>sp|P20042|IF2B_HUMAN Eukaryotic translation initiation factor 2 subunit 2 OS=Homo sapiens GN=EIF2S2 PE=1 SV=2	1257.51	1337.68
>sp|O75223|GGCT_HUMAN Gamma-glutamylcyclotransferase OS=Homo sapiens GN=GGCT PE=1 SV=1	137.76	444.02
>sp|O00264|PGRC1_HUMAN Membrane-associated progesterone receptor component 1 OS=Homo sapiens GN=PGRMC1 PE=1 SV=3	333.77	598.43
">sp|P47813|IF1AX_HUMAN Eukaryotic translation initiation factor 1A, X-chromosomal OS=Homo sapiens GN=EIF1AX PE=1 SV=2"	662.57	1236.38
>sp|Q9NTK5-3|OLA1_HUMAN Isoform 3 of Obg-like ATPase 1 OS=Homo sapiens GN=OLA1	1183.65	1367.40
>sp|P62873|GBB1_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 OS=Homo sapiens GN=GNB1 PE=1 SV=3	604.32	1055.40
>sp|Q9Y230|RUVB2_HUMAN RuvB-like 2 OS=Homo sapiens GN=RUVBL2 PE=1 SV=3	1418.11	1853.95
>sp|P28072|PSB6_HUMAN Proteasome subunit beta type-6 OS=Homo sapiens GN=PSMB6 PE=1 SV=4	1125.69	1307.27
>sp|P14854|CX6B1_HUMAN Cytochrome c oxidase subunit 6B1 OS=Homo sapiens GN=COX6B1 PE=1 SV=2	2054.31	1639.69
>sp|O00154|BACH_HUMAN Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens GN=ACOT7 PE=1 SV=3	1049.74	1802.78
">sp|P31930|QCR1_HUMAN Cytochrome b-c1 complex subunit 1, mitochondrial OS=Homo sapiens GN=UQCRC1 PE=1 SV=3"	3390.49	3330.78
">sp|P52815|RM12_HUMAN 39S ribosomal protein L12, mitochondrial OS=Homo sapiens GN=MRPL12 PE=1 SV=2"	1164.60	1235.00
>sp|Q15942|ZYX_HUMAN Zyxin OS=Homo sapiens GN=ZYX PE=1 SV=1	1108.55	1086.45
>sp|Q14247|SRC8_HUMAN Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2	796.35	992.36
>sp|P61916|NPC2_HUMAN Epididymal secretory protein E1 OS=Homo sapiens GN=NPC2 PE=1 SV=1	2019.84	2758.45
>sp|Q9UI30|TR112_HUMAN tRNA methyltransferase 112 homolog OS=Homo sapiens GN=TRMT112 PE=1 SV=1	14924.67	706.18
>sp|O00154-5|BACH_HUMAN Isoform 5 of Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens GN=ACOT7	1011.81	1776.07
>sp|P17081|RHOQ_HUMAN Rho-related GTP-binding protein RhoQ OS=Homo sapiens GN=RHOQ PE=1 SV=2	1384.43	1353.81
>sp|Q9Y2B0|CNPY2_HUMAN Protein canopy homolog 2 OS=Homo sapiens GN=CNPY2 PE=1 SV=1	1674.74	1089.39
">sp|Q9GZT3|SLIRP_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens GN=SLIRP PE=1 SV=1"	858.34	1525.73
>sp|P05455|LA_HUMAN Lupus La protein OS=Homo sapiens GN=SSB PE=1 SV=2	955.24	1265.46
>sp|P62879|GBB2_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Homo sapiens GN=GNB2 PE=1 SV=3	887.87	874.45
>sp|P28838-2|AMPL_HUMAN Isoform 2 of Cytosol aminopeptidase OS=Homo sapiens GN=LAP3	904.99	814.25
>sp|Q9UHD8|SEPT9_HUMAN Septin-9 OS=Homo sapiens GN=SEPT9 PE=1 SV=2	1248.87	1593.44
>sp|P35080-2|PROF2_HUMAN Isoform IIb of Profilin-2 OS=Homo sapiens GN=PFN2	788.94	1250.53
>sp|P25788-2|PSA3_HUMAN Isoform 2 of Proteasome subunit alpha type-3 OS=Homo sapiens GN=PSMA3	908.63	1422.92
>sp|Q16543|CDC37_HUMAN Hsp90 co-chaperone Cdc37 OS=Homo sapiens GN=CDC37 PE=1 SV=1	309.28	661.56
>sp|Q8NCW5|NNRE_HUMAN NAD(P)H-hydrate epimerase OS=Homo sapiens GN=APOA1BP PE=1 SV=2	1748.63	1973.48
>sp|Q9Y2Q3|GSTK1_HUMAN Glutathione S-transferase kappa 1 OS=Homo sapiens GN=GSTK1 PE=1 SV=3	1786.53	1532.09
">sp|P42166|LAP2A_HUMAN Lamina-associated polypeptide 2, isoform alpha OS=Homo sapiens GN=TMPO PE=1 SV=2"	989.35	688.18
>sp|P46940|IQGA1_HUMAN Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1	1469.24	1818.78
>sp|P68402|PA1B2_HUMAN Platelet-activating factor acetylhydrolase IB subunit beta OS=Homo sapiens GN=PAFAH1B2 PE=1 SV=1	3775.97	2185.42
">sp|P26639|SYTC_HUMAN Threonine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=TARS PE=1 SV=3"	809.69	1463.01
>sp|P55145|MANF_HUMAN Mesencephalic astrocyte-derived neurotrophic factor OS=Homo sapiens GN=MANF PE=1 SV=3	1033.70	968.77
>sp|P07814|SYEP_HUMAN Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5	2339.30	2680.02
>sp|P09525|ANXA4_HUMAN Annexin A4 OS=Homo sapiens GN=ANXA4 PE=1 SV=4	1247.44	1578.22
">sp|P14868|SYDC_HUMAN Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens GN=DARS PE=1 SV=2"	1168.34	1705.23
">sp|P36542|ATPG_HUMAN ATP synthase subunit gamma, mitochondrial OS=Homo sapiens GN=ATP5C1 PE=1 SV=1"	2208.82	2377.65
>sp|O00303|EIF3F_HUMAN Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens GN=EIF3F PE=1 SV=1	1420.26	1975.02
>sp|Q99536|VAT1_HUMAN Synaptic vesicle membrane protein VAT-1 homolog OS=Homo sapiens GN=VAT1 PE=1 SV=2	1059.23	624.23
>sp|Q13200|PSMD2_HUMAN 26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens GN=PSMD2 PE=1 SV=3	1165.46	877.13
>sp|P60891|PRPS1_HUMAN Ribose-phosphate pyrophosphokinase 1 OS=Homo sapiens GN=PRPS1 PE=1 SV=2	619.18	896.69
>sp|O15143|ARC1B_HUMAN Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens GN=ARPC1B PE=1 SV=3	1908.26	1728.23
>sp|Q9Y4L1|HYOU1_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens GN=HYOU1 PE=1 SV=1	832.85	968.86
>sp|O14737|PDCD5_HUMAN Programmed cell death protein 5 OS=Homo sapiens GN=PDCD5 PE=1 SV=3	1676.67	544.77
">sp|P11177-2|ODPB_HUMAN Isoform 2 of Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens GN=PDHB"	2128.42	1942.77
>sp|Q86VP6|CAND1_HUMAN Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens GN=CAND1 PE=1 SV=2	1293.14	1297.37
>sp|Q99471|PFD5_HUMAN Prefoldin subunit 5 OS=Homo sapiens GN=PFDN5 PE=1 SV=2	800.42	955.16
>sp|O15212|PFD6_HUMAN Prefoldin subunit 6 OS=Homo sapiens GN=PFDN6 PE=1 SV=1	1780.01	694.74
>sp|P41250|SYG_HUMAN Glycine--tRNA ligase OS=Homo sapiens GN=GARS PE=1 SV=3	1300.10	1790.68
>sp|P24666|PPAC_HUMAN Low molecular weight phosphotyrosine protein phosphatase OS=Homo sapiens GN=ACP1 PE=1 SV=3	750.77	640.55
">sp|P42704|LPPRC_HUMAN Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens GN=LRPPRC PE=1 SV=3"	1478.62	1741.91
">sp|P54577|SYYC_HUMAN Tyrosine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=YARS PE=1 SV=4"	1282.67	1576.87
>sp|P52292|IMA2_HUMAN Importin subunit alpha-2 OS=Homo sapiens GN=KPNA2 PE=1 SV=1	356.06	248.49
>sp|Q9UBQ0|VPS29_HUMAN Vacuolar protein sorting-associated protein 29 OS=Homo sapiens GN=VPS29 PE=1 SV=1	1487.57	1178.38
>sp|P04844|RPN2_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Homo sapiens GN=RPN2 PE=1 SV=3	1464.78	1691.42
">sp|Q9BWD1|THIC_HUMAN Acetyl-CoA acetyltransferase, cytosolic OS=Homo sapiens GN=ACAT2 PE=1 SV=2"	1929.56	978.35
>sp|O43684-2|BUB3_HUMAN Isoform 2 of Mitotic checkpoint protein BUB3 OS=Homo sapiens GN=BUB3	327.25	884.63
>sp|P98179|RBM3_HUMAN Putative RNA-binding protein 3 OS=Homo sapiens GN=RBM3 PE=1 SV=1	244.51	369.70
>sp|P04844-2|RPN2_HUMAN Isoform 2 of Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Homo sapiens GN=RPN2	1427.28	1649.20
>sp|Q9UBQ7|GRHPR_HUMAN Glyoxylate reductase/hydroxypyruvate reductase OS=Homo sapiens GN=GRHPR PE=1 SV=1	1596.47	1445.68
>sp|Q9ULV4|COR1C_HUMAN Coronin-1C OS=Homo sapiens GN=CORO1C PE=1 SV=1	745.79	803.44
>sp|P49720|PSB3_HUMAN Proteasome subunit beta type-3 OS=Homo sapiens GN=PSMB3 PE=1 SV=2	1232.93	1357.14
">sp|P11216|PYGB_HUMAN Glycogen phosphorylase, brain form OS=Homo sapiens GN=PYGB PE=1 SV=5"	5872.14	5408.77
