Identified Proteins (540)	Accession Number	Alternate ID	Molecular Weight	Protein Grouping Ambiguity	Taxonomy	Uninduced 1	Uninduced 2	Uninduced 3	Induced 1	Induced 2
ATP-binding cassette sub-family E member 1 OS=Homo sapiens GN=ABCE1 PE=1 SV=1	ABCE1_HUMAN		67 kDa		unknown	28	22	10		
60S ribosomal protein L26 OS=Homo sapiens GN=RPL26 PE=1 SV=1	RL26_HUMAN		17 kDa		unknown	10	13	12	16	9
Serine-threonine kinase receptor-associated protein OS=Homo sapiens GN=STRAP PE=1 SV=1	STRAP_HUMAN		38 kDa		unknown	10	14	14	10	11
Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 OS=Homo sapiens GN=HACD3 PE=1 SV=2	HACD3_HUMAN		43 kDa		unknown	10	15	11	13	10
Superkiller viralicidic activity 2-like 2 OS=Homo sapiens GN=SKIV2L2 PE=1 SV=3	SK2L2_HUMAN		118 kDa		unknown	14	17	8	4	12
60S ribosomal protein L15 OS=Homo sapiens GN=RPL15 PE=1 SV=2	RL15_HUMAN		24 kDa		unknown	14	4	5	16	17
Eukaryotic translation initiation factor 4 gamma 2 OS=Homo sapiens GN=EIF4G2 PE=1 SV=1	IF4G2_HUMAN		102 kDa	TRUE	unknown	16	18	18		1
"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens GN=MACF1 PE=1 SV=4"	MACF1_HUMAN		838 kDa	TRUE	unknown				21	18
Polypyrimidine tract-binding protein 1 OS=Homo sapiens GN=PTBP1 PE=1 SV=1	PTBP1_HUMAN		57 kDa		unknown	12	11	3	9	8
Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens GN=AIMP1 PE=1 SV=2	AIMP1_HUMAN		34 kDa	TRUE	unknown	16	9	13	8	7
Proteasome-associated protein ECM29 homolog OS=Homo sapiens GN=ECM29 PE=1 SV=2	ECM29_HUMAN		204 kDa	TRUE	unknown	7	3	1	27	16
Matrin-3 OS=Homo sapiens GN=MATR3 PE=1 SV=2	MATR3_HUMAN		95 kDa	TRUE	unknown	14	7	6	12	9
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Homo sapiens GN=RPN2 PE=1 SV=3	RPN2_HUMAN		69 kDa		unknown	17	10	8	12	10
40S ribosomal protein S18 OS=Homo sapiens GN=RPS18 PE=1 SV=3	RS18_HUMAN		18 kDa		unknown	9	9	8	11	17
Proliferation-associated protein 2G4 OS=Homo sapiens GN=PA2G4 PE=1 SV=3	PA2G4_HUMAN		44 kDa	TRUE	unknown	12	16	13	4	8
Coatomer subunit beta OS=Homo sapiens GN=COPB1 PE=1 SV=3	COPB_HUMAN		107 kDa	TRUE	unknown	9	5	6	14	16
60S ribosomal protein L18 OS=Homo sapiens GN=RPL18 PE=1 SV=2	RL18_HUMAN		22 kDa	TRUE	unknown	4	10	7	14	12
"Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens GN=MTHFD1L PE=1 SV=1"	C1TM_HUMAN		106 kDa	TRUE	unknown	13	17	21		
40S ribosomal protein S13 OS=Homo sapiens GN=RPS13 PE=1 SV=2	RS13_HUMAN		17 kDa	TRUE	unknown	7	9	7	14	11
Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens GN=DHX15 PE=1 SV=2	DHX15_HUMAN		91 kDa		unknown	11	9	4	14	11
Eukaryotic translation initiation factor 3 subunit J OS=Homo sapiens GN=EIF3J PE=1 SV=2	EIF3J_HUMAN		29 kDa	TRUE	unknown	17	17	11		1
78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2	GRP78_HUMAN		72 kDa	TRUE	unknown	22	18	18	20	24
Ubiquitin-associated protein 2-like OS=Homo sapiens GN=UBAP2L PE=1 SV=2	UBP2L_HUMAN		115 kDa		unknown	13	17	13	3	1
Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2 PE=1 SV=1	PCBP2_HUMAN		39 kDa	TRUE	unknown	14	10	10	6	4
Carboxypeptidase D OS=Homo sapiens GN=CPD PE=1 SV=2	CBPD_HUMAN		153 kDa	TRUE	unknown	11	16	6	8	4
Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens GN=DDX5 PE=1 SV=1	DDX5_HUMAN		69 kDa	TRUE	unknown	19	20	20	15	15
Peptidyl-prolyl cis-trans isomerase FKBP8 OS=Homo sapiens GN=FKBP8 PE=1 SV=2	FKBP8_HUMAN		45 kDa		unknown	10	9	5	12	13
40S ribosomal protein S14 OS=Homo sapiens GN=RPS14 PE=1 SV=3	RS14_HUMAN		16 kDa		unknown	5	7	9	12	14
60S ribosomal protein L10 OS=Homo sapiens GN=RPL10 PE=1 SV=4	RL10_HUMAN		25 kDa		unknown	8	7	8	8	9
"Keratin, type I cytoskeletal 16 OS=Homo sapiens GN=KRT16 PE=1 SV=4"	K1C16_HUMAN		51 kDa	TRUE	unknown	53	51	42	21	20
Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK PE=1 SV=1	HNRPK_HUMAN		51 kDa		unknown	19	10	13		3
Signal recognition particle receptor subunit alpha OS=Homo sapiens GN=SRPRA PE=1 SV=2	SRPRA_HUMAN		70 kDa		unknown	7	6	6	14	11
40S ribosomal protein S7 OS=Homo sapiens GN=RPS7 PE=1 SV=1	RS7_HUMAN		22 kDa		unknown	5	6	3	15	18
Fatty aldehyde dehydrogenase OS=Homo sapiens GN=ALDH3A2 PE=1 SV=1	AL3A2_HUMAN		55 kDa	TRUE	unknown	10	11	7	8	9
60S ribosomal protein L17 OS=Homo sapiens GN=RPL17 PE=1 SV=3	RL17_HUMAN		21 kDa		unknown	9	7	6	13	11
Centromere/kinetochore protein zw10 homolog OS=Homo sapiens GN=ZW10 PE=1 SV=3	ZW10_HUMAN		89 kDa	TRUE	unknown	10	7	6	7	11
60S ribosomal protein L21 OS=Homo sapiens GN=RPL21 PE=1 SV=2	RL21_HUMAN		19 kDa		unknown	3	10	4	12	13
Probable ATP-dependent RNA helicase DDX6 OS=Homo sapiens GN=DDX6 PE=1 SV=2	DDX6_HUMAN		54 kDa		unknown	6	5	4	13	14
60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1	RLA2_HUMAN		12 kDa	TRUE	unknown	4	2	4	19	14
Exportin-7 OS=Homo sapiens GN=XPO7 PE=1 SV=3	XPO7_HUMAN		124 kDa		unknown	7	9	0	12	11
Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2	ROA2_HUMAN		37 kDa	TRUE	unknown	12	11	8	7	5
26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens GN=PSMD2 PE=1 SV=3	PSMD2_HUMAN		100 kDa		unknown	8	11	4	9	8
ATP-dependent RNA helicase DHX36 OS=Homo sapiens GN=DHX36 PE=1 SV=2	DHX36_HUMAN		115 kDa	TRUE	unknown	13	7	3	8	7
CAD protein OS=Homo sapiens GN=CAD PE=1 SV=3	PYR1_HUMAN		243 kDa	TRUE	unknown	8	7	2	7	9
Insulin-like growth factor 2 mRNA-binding protein 2 OS=Homo sapiens GN=IGF2BP2 PE=1 SV=2	IF2B2_HUMAN		66 kDa	TRUE	unknown	26	34	19	14	18
60S ribosomal protein L23 OS=Homo sapiens GN=RPL23 PE=1 SV=1	RL23_HUMAN		15 kDa		unknown	8	9	6	8	11
Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens GN=HNRNPA1 PE=1 SV=5	ROA1_HUMAN		39 kDa	TRUE	unknown	3	3	2	17	13
Cytoplasmic dynein 1 intermediate chain 2 OS=Homo sapiens GN=DYNC1I2 PE=1 SV=3	DC1I2_HUMAN		71 kDa	TRUE	unknown	5	6	6	9	13
Cytoplasmic dynein 1 light intermediate chain 1 OS=Homo sapiens GN=DYNC1LI1 PE=1 SV=3	DC1L1_HUMAN		57 kDa	TRUE	unknown	6	4	7	11	10
Tetratricopeptide repeat protein 37 OS=Homo sapiens GN=TTC37 PE=1 SV=1	TTC37_HUMAN		175 kDa	TRUE	unknown	5	6	11	5	10
AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1	AP2B1_HUMAN		105 kDa	TRUE	unknown	6	7	2	10	8
Importin subunit alpha-1 OS=Homo sapiens GN=KPNA2 PE=1 SV=1	IMA1_HUMAN		58 kDa	TRUE	unknown	8	12	7	4	7
Ras GTPase-activating protein-binding protein 2 OS=Homo sapiens GN=G3BP2 PE=1 SV=2	G3BP2_HUMAN		54 kDa	TRUE	unknown	12	12	6	6	6
60S ribosomal protein L28 OS=Homo sapiens GN=RPL28 PE=1 SV=3	RL28_HUMAN		16 kDa		unknown	2	6	7	10	11
60S ribosomal protein L31 OS=Homo sapiens GN=RPL31 PE=1 SV=1	RL31_HUMAN		14 kDa		unknown	7	4	4	13	10
Cell division cycle 5-like protein OS=Homo sapiens GN=CDC5L PE=1 SV=2	CDC5L_HUMAN		92 kDa		unknown	2	4	3	15	9
40S ribosomal protein S15a OS=Homo sapiens GN=RPS15A PE=1 SV=2	RS15A_HUMAN		15 kDa		unknown	3	0	5	7	4
"Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2"	GRP75_HUMAN		74 kDa	TRUE	unknown	11	7	8	8	14
Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens GN=EIF2S1 PE=1 SV=3	IF2A_HUMAN		36 kDa		unknown	9	9	8	5	4
"Keratin, type II cytoskeletal 6C OS=Homo sapiens GN=KRT6C PE=1 SV=3"	K2C6C_HUMAN		60 kDa	TRUE	unknown	55	58	49	30	
tRNA-splicing ligase RtcB homolog OS=Homo sapiens GN=RTCB PE=1 SV=1	RTCB_HUMAN		55 kDa		unknown	10	11	10		1
Secretory carrier-associated membrane protein 3 OS=Homo sapiens GN=SCAMP3 PE=1 SV=3	SCAM3_HUMAN		38 kDa		unknown	6	8	4	6	10
Serine/threonine-protein kinase mTOR OS=Homo sapiens GN=MTOR PE=1 SV=1	MTOR_HUMAN		289 kDa	TRUE	unknown	1	5	1	5	11
26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens GN=PSMD1 PE=1 SV=2	PSMD1_HUMAN		106 kDa		unknown	7	2	1	12	12
Leucine-rich repeat-containing protein 47 OS=Homo sapiens GN=LRRC47 PE=1 SV=1	LRC47_HUMAN		63 kDa		unknown	9	12	12		
T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=1 SV=1	TCPA_HUMAN		60 kDa		unknown	14	13	8		
Extended synaptotagmin-1 OS=Homo sapiens GN=ESYT1 PE=1 SV=1	ESYT1_HUMAN		123 kDa	TRUE	unknown	8	5	6	8	8
Splicing factor 3B subunit 2 OS=Homo sapiens GN=SF3B2 PE=1 SV=2	SF3B2_HUMAN		100 kDa	TRUE	unknown	5	7	4	9	7
ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3	ACLY_HUMAN		121 kDa	TRUE	unknown	11	10	7		1
Plasma membrane calcium-transporting ATPase 1 OS=Homo sapiens GN=ATP2B1 PE=1 SV=3	AT2B1_HUMAN		139 kDa	TRUE	unknown	6	6	5	7	6
40S ribosomal protein S10 OS=Homo sapiens GN=RPS10 PE=1 SV=1	RS10_HUMAN		19 kDa		unknown	1	0	0	13	15
RNA-binding protein 6 OS=Homo sapiens GN=RBM6 PE=1 SV=5	RBM6_HUMAN		129 kDa	TRUE	unknown				7	8
T-complex protein 1 subunit theta OS=Homo sapiens GN=CCT8 PE=1 SV=4	TCPQ_HUMAN		60 kDa		unknown	11	10	11	1	
Guanine nucleotide-binding protein-like 3 OS=Homo sapiens GN=GNL3 PE=1 SV=2	GNL3_HUMAN		62 kDa	TRUE	unknown	3	1		11	9
Phenylalanine--tRNA ligase alpha subunit OS=Homo sapiens GN=FARSA PE=1 SV=3	SYFA_HUMAN		58 kDa	TRUE	unknown	12	8	7		
Prohibitin-2 OS=Homo sapiens GN=PHB2 PE=1 SV=2	PHB2_HUMAN		33 kDa	TRUE	unknown	6	7	5	9	3
TRMT1-like protein OS=Homo sapiens GN=TRMT1L PE=1 SV=2	TRM1L_HUMAN		82 kDa	TRUE	unknown	5	3	7	8	6
E1B 55 kDa protein OS=Human adenovirus C serotype 5 PE=1 SV=1	E1B55_ADE05		55 kDa		unknown	5	9	6	5	5
Importin-5 OS=Homo sapiens GN=IPO5 PE=1 SV=4	IPO5_HUMAN		124 kDa		unknown	5	2	1	10	8
"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=2"	SPTB2_HUMAN		275 kDa	TRUE	unknown	12	11	1	0	1
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A OS=Homo sapiens GN=STT3A PE=1 SV=2	STT3A_HUMAN		81 kDa		unknown	9	7	6	5	
Gamma-tubulin complex component 2 OS=Homo sapiens GN=TUBGCP2 PE=1 SV=2	GCP2_HUMAN		103 kDa	TRUE	unknown	3	5	2	10	5
ELAV-like protein 1 OS=Homo sapiens GN=ELAVL1 PE=1 SV=2	ELAV1_HUMAN		36 kDa		unknown	9	5	3	8	6
Minor histocompatibility antigen H13 OS=Homo sapiens GN=HM13 PE=1 SV=1	HM13_HUMAN		41 kDa		unknown	7	15	5	2	2
Prohibitin OS=Homo sapiens GN=PHB PE=1 SV=1	PHB_HUMAN		30 kDa	TRUE	unknown	3	3	2	10	13
60S ribosomal protein L24 OS=Homo sapiens GN=RPL24 PE=1 SV=1	RL24_HUMAN		18 kDa		unknown	4	5	2	8	12
Fanconi anemia group I protein OS=Homo sapiens GN=FANCI PE=1 SV=4	FANCI_HUMAN		149 kDa	TRUE	unknown		1	0	17	6
Nodal modulator 1 OS=Homo sapiens GN=NOMO1 PE=1 SV=5	NOMO1_HUMAN (+1)		134 kDa		unknown		6		9	13
E3 ubiquitin-protein ligase UBR5 OS=Homo sapiens GN=UBR5 PE=1 SV=2	UBR5_HUMAN		309 kDa	TRUE	unknown				10	20
Nucleolar GTP-binding protein 1 OS=Homo sapiens GN=GTPBP4 PE=1 SV=3	NOG1_HUMAN		74 kDa		unknown	6	6	6	6	7
Eukaryotic initiation factor 4A-III OS=Homo sapiens GN=EIF4A3 PE=1 SV=4	IF4A3_HUMAN		47 kDa	TRUE	unknown	10	15	9	4	6
Pre-mRNA-processing factor 19 OS=Homo sapiens GN=PRPF19 PE=1 SV=1	PRP19_HUMAN		55 kDa		unknown	9	7	4	4	5
Serine/arginine-rich splicing factor 2 OS=Homo sapiens GN=SRSF2 PE=1 SV=4	SRSF2_HUMAN		25 kDa		unknown	5	4	9	6	5
60S ribosomal protein L35a OS=Homo sapiens GN=RPL35A PE=1 SV=2	RL35A_HUMAN		13 kDa		unknown	7	1	6	6	8
40S ribosomal protein S23 OS=Homo sapiens GN=RPS23 PE=1 SV=3	RS23_HUMAN		16 kDa	TRUE	unknown	4	4	1	7	9
Serine/arginine repetitive matrix protein 2 OS=Homo sapiens GN=SRRM2 PE=1 SV=2	SRRM2_HUMAN		300 kDa	TRUE	unknown	2	4	1	11	9
GRB10-interacting GYF protein 2 OS=Homo sapiens GN=GIGYF2 PE=1 SV=1	GGYF2_HUMAN		150 kDa	TRUE	unknown	1	0	1	7	18
Homer protein homolog 1 OS=Homo sapiens GN=HOMER1 PE=1 SV=2	HOME1_HUMAN		40 kDa		unknown	10	10	11		
40S ribosomal protein S25 OS=Homo sapiens GN=RPS25 PE=1 SV=1	RS25_HUMAN		14 kDa	TRUE	unknown	7	4	3	3	9
Cell cycle and apoptosis regulator protein 2 OS=Homo sapiens GN=CCAR2 PE=1 SV=2	CCAR2_HUMAN		103 kDa		unknown	5	9	4	3	8
Non-POU domain-containing octamer-binding protein OS=Homo sapiens GN=NONO PE=1 SV=4	NONO_HUMAN		54 kDa	TRUE	unknown	13	7	4	2	4
Coatomer subunit gamma-2 OS=Homo sapiens GN=COPG2 PE=1 SV=1	COPG2_HUMAN		98 kDa	TRUE	unknown	4	7	0	10	5
26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens GN=PSMD3 PE=1 SV=2	PSMD3_HUMAN		61 kDa		unknown	7	11		6	5
Protein ERGIC-53 OS=Homo sapiens GN=LMAN1 PE=1 SV=2	LMAN1_HUMAN		58 kDa	TRUE	unknown	8	9	4	1	
Transmembrane emp24 domain-containing protein 10 OS=Homo sapiens GN=TMED10 PE=1 SV=2	TMEDA_HUMAN		25 kDa		unknown	8	4	7	3	5
Insulin receptor substrate 4 OS=Homo sapiens GN=IRS4 PE=1 SV=1	IRS4_HUMAN		134 kDa		unknown	3	2	2	8	11
U4/U6 small nuclear ribonucleoprotein Prp31 OS=Homo sapiens GN=PRPF31 PE=1 SV=2	PRP31_HUMAN		55 kDa		unknown	7	8	6	4	2
DnaJ homolog subfamily A member 1 OS=Homo sapiens GN=DNAJA1 PE=1 SV=2	DNJA1_HUMAN		45 kDa	TRUE	unknown	4	6	5	1	8
La-related protein 4B OS=Homo sapiens GN=LARP4B PE=1 SV=3	LAR4B_HUMAN		81 kDa		unknown				9	20
Serine/arginine-rich splicing factor 6 OS=Homo sapiens GN=SRSF6 PE=1 SV=2	SRSF6_HUMAN		40 kDa	TRUE	unknown	4	5	7	4	5
Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens GN=HNRNPAB PE=1 SV=2	ROAA_HUMAN		36 kDa		unknown	7	4	4	3	3
RRP12-like protein OS=Homo sapiens GN=RRP12 PE=1 SV=2	RRP12_HUMAN		144 kDa		unknown	1	1	7	10	6
Coatomer subunit beta' OS=Homo sapiens GN=COPB2 PE=1 SV=2	COPB2_HUMAN		102 kDa		unknown	4	5	6	5	4
60S ribosomal protein L27 OS=Homo sapiens GN=RPL27 PE=1 SV=2	RL27_HUMAN		16 kDa		unknown	4	7	3	5	5
Membrane-associated progesterone receptor component 1 OS=Homo sapiens GN=PGRMC1 PE=1 SV=3	PGRC1_HUMAN		22 kDa	TRUE	unknown	5	3	2	2	4
Protein flightless-1 homolog OS=Homo sapiens GN=FLII PE=1 SV=2	FLII_HUMAN		145 kDa		unknown	3	8	2	6	8
40S ribosomal protein S11 OS=Homo sapiens GN=RPS11 PE=1 SV=3	RS11_HUMAN		18 kDa		unknown	7	4	3	7	2
Homeobox protein HMX3 OS=Homo sapiens GN=HMX3 PE=1 SV=1	HMX3_HUMAN		38 kDa	TRUE	unknown	4	6	14	6	7
60S ribosomal protein L35 OS=Homo sapiens GN=RPL35 PE=1 SV=2	RL35_HUMAN		15 kDa	TRUE	unknown	1	1	1	11	11
Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens GN=HNRNPR PE=1 SV=1	HNRPR_HUMAN		71 kDa	TRUE	unknown	19	7	10	17	15
Tyrosine-protein phosphatase non-receptor type 1 OS=Homo sapiens GN=PTPN1 PE=1 SV=1	PTN1_HUMAN		50 kDa		unknown	7	11	5		2
Vesicle-trafficking protein SEC22b OS=Homo sapiens GN=SEC22B PE=1 SV=4	SC22B_HUMAN		25 kDa		unknown	6	4	4	5	7
60S ribosomal protein L9 OS=Homo sapiens GN=RPL9 PE=1 SV=1	RL9_HUMAN		22 kDa		unknown	3	2	3	7	6
"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens GN=HADHA PE=1 SV=2"	ECHA_HUMAN		83 kDa	TRUE	unknown	9	7	3	2	3
"Interferon-induced, double-stranded RNA-activated protein kinase OS=Homo sapiens GN=EIF2AK2 PE=1 SV=2"	E2AK2_HUMAN		62 kDa	TRUE	unknown	8	1	2	4	9
4F2 cell-surface antigen heavy chain OS=Homo sapiens GN=SLC3A2 PE=1 SV=3	4F2_HUMAN		68 kDa	TRUE	unknown	8	9	1	4	2
Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 OS=Homo sapiens GN=GBF1 PE=1 SV=2	GBF1_HUMAN		206 kDa	TRUE	unknown		3	3	9	7
ATP-dependent RNA helicase DDX1 OS=Homo sapiens GN=DDX1 PE=1 SV=2	DDX1_HUMAN		82 kDa	TRUE	unknown	5	11	5	1	
40S ribosomal protein S5 OS=Homo sapiens GN=RPS5 PE=1 SV=4	RS5_HUMAN		23 kDa		unknown	2		1	12	10
Phosphatidylinositide phosphatase SAC1 OS=Homo sapiens GN=SACM1L PE=1 SV=2	SAC1_HUMAN		67 kDa		unknown	6	7	5	3	3
RNA-binding protein 39 OS=Homo sapiens GN=RBM39 PE=1 SV=2	RBM39_HUMAN		59 kDa		unknown	8	4	4	5	2
Sec1 family domain-containing protein 1 OS=Homo sapiens GN=SCFD1 PE=1 SV=4	SCFD1_HUMAN		72 kDa	TRUE	unknown	1	7	4	7	5
Probable ATP-dependent RNA helicase DDX20 OS=Homo sapiens GN=DDX20 PE=1 SV=2	DDX20_HUMAN		92 kDa	TRUE	unknown	2	1	2	6	11
Constitutive coactivator of PPAR-gamma-like protein 1 OS=Homo sapiens GN=FAM120A PE=1 SV=2	F120A_HUMAN		122 kDa		unknown	5	8	2	2	5
60S ribosomal protein L29 OS=Homo sapiens GN=RPL29 PE=1 SV=2	RL29_HUMAN		18 kDa		unknown	5	2	4	7	6
Zinc finger CCHC domain-containing protein 3 OS=Homo sapiens GN=ZCCHC3 PE=1 SV=1	ZCHC3_HUMAN		44 kDa		unknown	8	8	4		3
Nuclear fragile X mental retardation-interacting protein 2 OS=Homo sapiens GN=NUFIP2 PE=1 SV=1	NUFP2_HUMAN		76 kDa	TRUE	unknown	1		2	3	8
60S ribosomal protein L36 OS=Homo sapiens GN=RPL36 PE=1 SV=3	RL36_HUMAN		12 kDa		unknown	5	1		9	8
Rho guanine nucleotide exchange factor 2 OS=Homo sapiens GN=ARHGEF2 PE=1 SV=4	ARHG2_HUMAN		112 kDa	TRUE	unknown	1		2	11	10
Lamin-B receptor OS=Homo sapiens GN=LBR PE=1 SV=2	LBR_HUMAN		71 kDa		unknown	2	0		6	9
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens GN=DDOST PE=1 SV=4	OST48_HUMAN		51 kDa		unknown	6	3	7	3	2
26S protease regulatory subunit 8 OS=Homo sapiens GN=PSMC5 PE=1 SV=1	PRS8_HUMAN		46 kDa	TRUE	unknown	7	7	6	2	2
Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5	HS90A_HUMAN		85 kDa	TRUE	unknown	4	3	8	3	4
Zinc finger CCCH-type antiviral protein 1 OS=Homo sapiens GN=ZC3HAV1 PE=1 SV=3	ZCCHV_HUMAN		101 kDa		unknown	1		2	11	9
T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=1 SV=4	TCPD_HUMAN		58 kDa		unknown	7	9	6		
Protein transport protein Sec16A OS=Homo sapiens GN=SEC16A PE=1 SV=3	SC16A_HUMAN		234 kDa	TRUE	unknown				11	12
E3 ubiquitin/ISG15 ligase TRIM25 OS=Homo sapiens GN=TRIM25 PE=1 SV=2	TRI25_HUMAN		71 kDa	TRUE	unknown	6	4	2	6	2
Pumilio homolog 1 OS=Homo sapiens GN=PUM1 PE=1 SV=3	PUM1_HUMAN		126 kDa	TRUE	unknown	3	7	2	5	3
"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 PE=1 SV=3"	SPTN1_HUMAN		285 kDa	TRUE	unknown	2	6	3	3	1
Signal recognition particle receptor subunit beta OS=Homo sapiens GN=SRPRB PE=1 SV=3	SRPRB_HUMAN		30 kDa	TRUE	unknown	6	4	5	4	3
Exosome component 10 OS=Homo sapiens GN=EXOSC10 PE=1 SV=2	EXOSX_HUMAN		101 kDa		unknown	8	1	2	7	4
60S ribosomal protein L27a OS=Homo sapiens GN=RPL27A PE=1 SV=2	RL27A_HUMAN		17 kDa		unknown		1	1	10	5
60S ribosomal protein L22 OS=Homo sapiens GN=RPL22 PE=1 SV=2	RL22_HUMAN		15 kDa		unknown			5	6	9
OTU domain-containing protein 4 OS=Homo sapiens GN=OTUD4 PE=1 SV=4	OTUD4_HUMAN		124 kDa	TRUE	unknown		1		8	10
Protein MON2 homolog OS=Homo sapiens GN=MON2 PE=1 SV=3	MON2_HUMAN		190 kDa	TRUE	unknown				9	10
ATP-dependent RNA helicase DHX29 OS=Homo sapiens GN=DHX29 PE=1 SV=2	DHX29_HUMAN		155 kDa	TRUE	unknown	3	2	3	6	3
60S ribosomal protein L34 OS=Homo sapiens GN=RPL34 PE=1 SV=3	RL34_HUMAN		13 kDa		unknown	5	2	4	6	3
RNA-binding protein 4 OS=Homo sapiens GN=RBM4 PE=1 SV=1	RBM4_HUMAN		40 kDa	TRUE	unknown	4	2	4	6	4
Cytoskeleton-associated protein 4 OS=Homo sapiens GN=CKAP4 PE=1 SV=2	CKAP4_HUMAN		66 kDa	TRUE	unknown	4	3		4	10
60S ribosomal protein L32 OS=Homo sapiens GN=RPL32 PE=1 SV=2	RL32_HUMAN		16 kDa		unknown	7	3		5	7
T-complex protein 1 subunit eta OS=Homo sapiens GN=CCT7 PE=1 SV=2	TCPH_HUMAN		59 kDa	TRUE	unknown	10	4	6		1
40S ribosomal protein S24 OS=Homo sapiens GN=RPS24 PE=1 SV=1	RS24_HUMAN		15 kDa		unknown	1	2	0	10	8
Importin-9 OS=Homo sapiens GN=IPO9 PE=1 SV=3	IPO9_HUMAN		116 kDa	TRUE	unknown	3			5	2
Probable ATP-dependent RNA helicase DDX56 OS=Homo sapiens GN=DDX56 PE=1 SV=1	DDX56_HUMAN		62 kDa		unknown	4				2
Translation initiation factor eIF-2B subunit delta OS=Homo sapiens GN=EIF2B4 PE=1 SV=2	EI2BD_HUMAN		58 kDa	TRUE	unknown	5	3	3	2	7
Ubiquitin carboxyl-terminal hydrolase 10 OS=Homo sapiens GN=USP10 PE=1 SV=2	UBP10_HUMAN		87 kDa		unknown	7	1	4	6	1
Luc7-like protein 3 OS=Homo sapiens GN=LUC7L3 PE=1 SV=2	LC7L3_HUMAN		51 kDa		unknown	6	3	3	2	4
60S ribosomal protein L30 OS=Homo sapiens GN=RPL30 PE=1 SV=2	RL30_HUMAN		13 kDa		unknown	1	1	5	3	4
40S ribosomal protein S26 OS=Homo sapiens GN=RPS26 PE=1 SV=3	RS26_HUMAN		13 kDa		unknown	3	5	1	6	6
Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens GN=HNRNPL PE=1 SV=2	HNRPL_HUMAN		64 kDa		unknown	12	4	2		
Eukaryotic translation initiation factor 2A OS=Homo sapiens GN=EIF2A PE=1 SV=3	EIF2A_HUMAN		65 kDa	TRUE	unknown	2	3	2	5	6
Vesicle-associated membrane protein-associated protein B/C OS=Homo sapiens GN=VAPB PE=1 SV=3	VAPB_HUMAN		27 kDa		unknown	3	2	5	5	4
Cold shock domain-containing protein E1 OS=Homo sapiens GN=CSDE1 PE=1 SV=2	CSDE1_HUMAN		89 kDa	TRUE	unknown	1	4	0	5	4
Coatomer subunit delta OS=Homo sapiens GN=ARCN1 PE=1 SV=1	COPD_HUMAN		57 kDa		unknown	7	3		5	3
"Splicing factor, proline- and glutamine-rich OS=Homo sapiens GN=SFPQ PE=1 SV=2"	SFPQ_HUMAN		76 kDa	TRUE	unknown	2	2	3	7	6
Ras-related protein Rab-1A OS=Homo sapiens GN=RAB1A PE=1 SV=3	RAB1A_HUMAN		23 kDa	TRUE	unknown	3	1	3	4	5
Long-chain-fatty-acid--CoA ligase 3 OS=Homo sapiens GN=ACSL3 PE=1 SV=3	ACSL3_HUMAN		80 kDa		unknown	5	4	1	2	1
Squalene synthase OS=Homo sapiens GN=FDFT1 PE=1 SV=1	FDFT_HUMAN		48 kDa		unknown	5	5	1	3	4
