Entry	Status	Protein names	Organism	Length	Gene names  (primary )	Entry name
P07910	reviewed	Heterogeneous nuclear ribonucleoproteins C1/C2 (hnRNP C1/C2)	Homo sapiens (Human)	306	HNRNPC	HNRPC_HUMAN
Q14103	reviewed	Heterogeneous nuclear ribonucleoprotein D0 (hnRNP D0) (AU-rich element RNA-binding protein 1)	Homo sapiens (Human)	355	HNRNPD	HNRPD_HUMAN
P52597	reviewed	Heterogeneous nuclear ribonucleoprotein F (hnRNP F) (Nucleolin-like protein mcs94-1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein F, N-terminally processed]	Homo sapiens (Human)	415	HNRNPF	HNRPF_HUMAN
P61978	reviewed	Heterogeneous nuclear ribonucleoprotein K (hnRNP K) (Transformation up-regulated nuclear protein) (TUNP)	Homo sapiens (Human)	463	HNRNPK	HNRPK_HUMAN
P14866	reviewed	Heterogeneous nuclear ribonucleoprotein L (hnRNP L)	Homo sapiens (Human)	589	HNRNPL	HNRPL_HUMAN
P52272	reviewed	Heterogeneous nuclear ribonucleoprotein M (hnRNP M)	Homo sapiens (Human)	730	HNRNPM	HNRPM_HUMAN
O60506	reviewed	Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein) (GRY-RBP) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein)	Homo sapiens (Human)	623	SYNCRIP	HNRPQ_HUMAN
O43390	reviewed	Heterogeneous nuclear ribonucleoprotein R (hnRNP R)	Homo sapiens (Human)	633	HNRNPR	HNRPR_HUMAN
Q00839	reviewed	Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (GRIP120) (Nuclear p120 ribonucleoprotein) (Scaffold-attachment factor A) (SAF-A) (p120) (pp120)	Homo sapiens (Human)	825	HNRNPU	HNRPU_HUMAN
P0DMV8	reviewed	Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 1) (HSP70-1) (HSP70.1)	Homo sapiens (Human)	641	HSPA1A	HS71A_HUMAN
P07900	reviewed	Heat shock protein HSP 90-alpha (Heat shock 86 kDa) (HSP 86) (HSP86) (Lipopolysaccharide-associated protein 2) (LAP-2) (LPS-associated protein 2) (Renal carcinoma antigen NY-REN-38)	Homo sapiens (Human)	732	HSP90AA1	HS90A_HUMAN
P08238	reviewed	Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84)	Homo sapiens (Human)	724	HSP90AB1	HS90B_HUMAN
P34932	reviewed	Heat shock 70 kDa protein 4 (HSP70RY) (Heat shock 70-related protein APG-2)	Homo sapiens (Human)	840	HSPA4	HSP74_HUMAN
P11142	reviewed	Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1)	Homo sapiens (Human)	646	HSPA8	HSP7C_HUMAN
P04792	reviewed	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	Homo sapiens (Human)	205	HSPB1	HSPB1_HUMAN
O43719	reviewed	HIV Tat-specific factor 1 (Tat-SF1)	Homo sapiens (Human)	755	HTATSF1	HTSF1_HUMAN
Q9Y4L1	reviewed	Hypoxia up-regulated protein 1 (150 kDa oxygen-regulated protein) (ORP-150) (170 kDa glucose-regulated protein) (GRP-170)	Homo sapiens (Human)	999	HYOU1	HYOU1_HUMAN
P05198	reviewed	Eukaryotic translation initiation factor 2 subunit 1 (Eukaryotic translation initiation factor 2 subunit alpha) (eIF-2-alpha) (eIF-2A) (eIF-2alpha)	Homo sapiens (Human)	315	EIF2S1	IF2A_HUMAN
Q9Y6M1	reviewed	Insulin-like growth factor 2 mRNA-binding protein 2 (IGF2 mRNA-binding protein 2) (IMP-2) (Hepatocellular carcinoma autoantigen p62) (IGF-II mRNA-binding protein 2) (VICKZ family member 2)	Homo sapiens (Human)	599	IGF2BP2	IF2B2_HUMAN
O60841	reviewed	Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2)	Homo sapiens (Human)	1220	EIF5B	IF2P_HUMAN
P60842	reviewed	Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)	Homo sapiens (Human)	406	EIF4A1	IF4A1_HUMAN
P23588	reviewed	Eukaryotic translation initiation factor 4B (eIF-4B)	Homo sapiens (Human)	611	EIF4B	IF4B_HUMAN
Q04637	reviewed	Eukaryotic translation initiation factor 4 gamma 1 (eIF-4-gamma 1) (eIF-4G 1) (eIF-4G1) (p220)	Homo sapiens (Human)	1599	EIF4G1	IF4G1_HUMAN
Q15056	reviewed	Eukaryotic translation initiation factor 4H (eIF-4H) (Williams-Beuren syndrome chromosomal region 1 protein)	Homo sapiens (Human)	248	EIF4H	IF4H_HUMAN
Q12905	reviewed	Interleukin enhancer-binding factor 2 (Nuclear factor of activated T-cells 45 kDa)	Homo sapiens (Human)	390	ILF2	ILF2_HUMAN
Q12906	reviewed	Interleukin enhancer-binding factor 3 (Double-stranded RNA-binding protein 76) (DRBP76) (M-phase phosphoprotein 4) (MPP4) (Nuclear factor associated with dsRNA) (NFAR) (Nuclear factor of activated T-cells 90 kDa) (NF-AT-90) (Translational control protein 80) (TCP80)	Homo sapiens (Human)	894	ILF3	ILF3_HUMAN
P52292	reviewed	Importin subunit alpha-1 (Karyopherin subunit alpha-2) (RAG cohort protein 1) (SRP1-alpha)	Homo sapiens (Human)	529	KPNA2	IMA1_HUMAN
Q14974	reviewed	Importin subunit beta-1 (Importin-90) (Karyopherin subunit beta-1) (Nuclear factor p97) (Pore targeting complex 97 kDa subunit) (PTAC97)	Homo sapiens (Human)	876	KPNB1	IMB1_HUMAN
Q9NV31	reviewed	U3 small nucleolar ribonucleoprotein protein IMP3 (U3 snoRNP protein IMP3) (BRMS2)	Homo sapiens (Human)	184	IMP3	IMP3_HUMAN
P26006	reviewed	Integrin alpha-3 (CD49 antigen-like family member C) (FRP-2) (Galactoprotein B3) (GAPB3) (VLA-3 subunit alpha) (CD antigen CD49c) [Cleaved into: Integrin alpha-3 heavy chain; Integrin alpha-3 light chain]	Homo sapiens (Human)	1051	ITGA3	ITA3_HUMAN
P08648	reviewed	Integrin alpha-5 (CD49 antigen-like family member E) (Fibronectin receptor subunit alpha) (Integrin alpha-F) (VLA-5) (CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain]	Homo sapiens (Human)	1049	ITGA5	ITA5_HUMAN
P06756	reviewed	Integrin alpha-V (Vitronectin receptor) (Vitronectin receptor subunit alpha) (CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain]	Homo sapiens (Human)	1048	ITGAV	ITAV_HUMAN
P05556	reviewed	Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29)	Homo sapiens (Human)	798	ITGB1	ITB1_HUMAN
Q96ST2	reviewed	Protein IWS1 homolog (IWS1-like protein)	Homo sapiens (Human)	819	IWS1	IWS1_HUMAN
P02533	reviewed	Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)	Homo sapiens (Human)	472	KRT14	K1C14_HUMAN
P08779	reviewed	Keratin, type I cytoskeletal 16 (Cytokeratin-16) (CK-16) (Keratin-16) (K16)	Homo sapiens (Human)	473	KRT16	K1C16_HUMAN
Q2M2I5	reviewed	Keratin, type I cytoskeletal 24 (Cytokeratin-24) (CK-24) (Keratin-24) (K24) (Type I keratin-24)	Homo sapiens (Human)	525	KRT24	K1C24_HUMAN
P13647	reviewed	Keratin, type II cytoskeletal 5 (58 kDa cytokeratin) (Cytokeratin-5) (CK-5) (Keratin-5) (K5) (Type-II keratin Kb5)	Homo sapiens (Human)	590	KRT5	K2C5_HUMAN
P02538	reviewed	Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Cytokeratin-6D) (CK-6D) (Keratin-6A) (K6A) (Type-II keratin Kb6) (allergen Hom s 5)	Homo sapiens (Human)	564	KRT6A	K2C6A_HUMAN
Q86Y46	reviewed	Keratin, type II cytoskeletal 73 (Cytokeratin-73) (CK-73) (Keratin-73) (K73) (Type II inner root sheath-specific keratin-K6irs3) (Type-II keratin Kb36)	Homo sapiens (Human)	540	KRT73	K2C73_HUMAN
Q07666	reviewed	KH domain-containing, RNA-binding, signal transduction-associated protein 1 (GAP-associated tyrosine phosphoprotein p62) (Src-associated in mitosis 68 kDa protein) (Sam68) (p21 Ras GTPase-activating protein-associated p62) (p68)	Homo sapiens (Human)	443	KHDRBS1	KHDR1_HUMAN
P46013	reviewed	Proliferation marker protein Ki-67 (Antigen identified by monoclonal antibody Ki-67) (Antigen KI-67) (Antigen Ki67)	Homo sapiens (Human)	3256	MKI67	KI67_HUMAN
P14618	reviewed	Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein) (CTHBP) (Opa-interacting protein 3) (OIP-3) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Thyroid hormone-binding protein 1) (THBP1) (Tumor M2-PK) (p58)	Homo sapiens (Human)	531	PKM	KPYM_HUMAN
P05455	reviewed	Lupus La protein (La autoantigen) (La ribonucleoprotein) (Sjoegren syndrome type B antigen) (SS-B)	Homo sapiens (Human)	408	SSB	LA_HUMAN
P11279	reviewed	Lysosome-associated membrane glycoprotein 1 (LAMP-1) (Lysosome-associated membrane protein 1) (CD107 antigen-like family member A) (CD antigen CD107a)	Homo sapiens (Human)	417	LAMP1	LAMP1_HUMAN
Q6PKG0	reviewed	La-related protein 1 (La ribonucleoprotein domain family member 1)	Homo sapiens (Human)	1096	LARP1	LARP1_HUMAN
Q71RC2	reviewed	La-related protein 4 (La ribonucleoprotein domain family member 4)	Homo sapiens (Human)	724	LARP4	LARP4_HUMAN
Q4G0J3	reviewed	La-related protein 7 (La ribonucleoprotein domain family member 7) (P-TEFb-interaction protein for 7SK stability) (PIP7S)	Homo sapiens (Human)	582	LARP7	LARP7_HUMAN
Q14847	reviewed	LIM and SH3 domain protein 1 (LASP-1) (Metastatic lymph node gene 50 protein) (MLN 50)	Homo sapiens (Human)	261	LASP1	LASP1_HUMAN
Q9Y383	reviewed	Putative RNA-binding protein Luc7-like 2	Homo sapiens (Human)	392	LUC7L2	LC7L2_HUMAN
O95232	reviewed	Luc7-like protein 3 (Cisplatin resistance-associated-overexpressed protein) (Luc7A) (Okadaic acid-inducible phosphoprotein OA48-18) (cAMP regulatory element-associated protein 1) (CRE-associated protein 1) (CREAP-1)	Homo sapiens (Human)	432	LUC7L3	LC7L3_HUMAN
P00338	reviewed	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (LDH-M) (Renal carcinoma antigen NY-REN-59)	Homo sapiens (Human)	332	LDHA	LDHA_HUMAN
P07195	reviewed	L-lactate dehydrogenase B chain (LDH-B) (EC 1.1.1.27) (LDH heart subunit) (LDH-H) (Renal carcinoma antigen NY-REN-46)	Homo sapiens (Human)	334	LDHB	LDHB_HUMAN
P09382	reviewed	Galectin-1 (Gal-1) (14 kDa laminin-binding protein) (HLBP14) (14 kDa lectin) (Beta-galactoside-binding lectin L-14-I) (Galaptin) (HBL) (HPL) (Lactose-binding lectin 1) (Lectin galactoside-binding soluble 1) (Putative MAPK-activating protein PM12) (S-Lac lectin 1)	Homo sapiens (Human)	135	LGALS1	LEG1_HUMAN
P02545	reviewed	Prelamin-A/C [Cleaved into: Lamin-A/C (70 kDa lamin) (Renal carcinoma antigen NY-REN-32)]	Homo sapiens (Human)	664	LMNA	LMNA_HUMAN
P20700	reviewed	Lamin-B1	Homo sapiens (Human)	586	LMNB1	LMNB1_HUMAN
P42704	reviewed	Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein) (LRP 130) (GP130)	Homo sapiens (Human)	1394	LRPPRC	LPPRC_HUMAN
O15479	reviewed	Melanoma-associated antigen B2 (Cancer/testis antigen 3.2) (CT3.2) (DSS-AHC critical interval MAGE superfamily 6) (DAM6) (MAGE XP-2 antigen) (MAGE-B2 antigen)	Homo sapiens (Human)	319	MAGEB2	MAGB2_HUMAN
P27816	reviewed	Microtubule-associated protein 4 (MAP-4)	Homo sapiens (Human)	1152	MAP4	MAP4_HUMAN
P43243	reviewed	Matrin-3	Homo sapiens (Human)	847	MATR3	MATR3_HUMAN
Q9BYG3	reviewed	MKI67 FHA domain-interacting nucleolar phosphoprotein (Nucleolar phosphoprotein Nopp34) (Nucleolar protein interacting with the FHA domain of pKI-67) (hNIFK)	Homo sapiens (Human)	293	NIFK	MK67I_HUMAN
P26038	reviewed	Moesin (Membrane-organizing extension spike protein)	Homo sapiens (Human)	577	MSN	MOES_HUMAN
Q9HCE1	reviewed	Putative helicase MOV-10 (EC 3.6.4.13) (Armitage homolog) (Moloney leukemia virus 10 protein)	Homo sapiens (Human)	1003	MOV10	MOV10_HUMAN
Q7L0Y3	reviewed	tRNA methyltransferase 10 homolog C (HBV pre-S2 trans-regulated protein 2) (Mitochondrial ribonuclease P protein 1) (Mitochondrial RNase P protein 1) (RNA (guanine-9-)-methyltransferase domain-containing protein 1) (Renal carcinoma antigen NY-REN-49) (mRNA methyladenosine-N(1)-methyltransferase) (EC 2.1.1.-) (tRNA (adenine(9)-N(1))-methyltransferase) (EC 2.1.1.218) (tRNA (guanine(9)-N(1))-methyltransferase) (EC 2.1.1.221)	Homo sapiens (Human)	403	TRMT10C	TM10C_HUMAN
Q96DH6	reviewed	RNA-binding protein Musashi homolog 2 (Musashi-2)	Homo sapiens (Human)	328	MSI2	MSI2H_HUMAN
P43121	reviewed	Cell surface glycoprotein MUC18 (Cell surface glycoprotein P1H12) (Melanoma cell adhesion molecule) (Melanoma-associated antigen A32) (Melanoma-associated antigen MUC18) (S-endo 1 endothelial-associated antigen) (CD antigen CD146)	Homo sapiens (Human)	646	MCAM	MUC18_HUMAN
P35579	reviewed	Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A) (NMMHC-A) (Non-muscle myosin heavy chain IIa) (NMMHC II-a) (NMMHC-IIA)	Homo sapiens (Human)	1960	MYH9	MYH9_HUMAN
Q86UY6	reviewed	N-alpha-acetyltransferase 40 (EC 2.3.1.257) (N-acetyltransferase 11) (N-alpha-acetyltransferase D) (NatD) (hNatD) (Protein acetyltransferase 1)	Homo sapiens (Human)	237	NAA40	NAA40_HUMAN
E9PAV3	reviewed	Nascent polypeptide-associated complex subunit alpha, muscle-specific form (Alpha-NAC, muscle-specific form) (skNAC)	Homo sapiens (Human)	2078	NACA	NACAM_HUMAN
P48681	reviewed	Nestin	Homo sapiens (Human)	1621	NES	NEST_HUMAN
Q9NX24	reviewed	H/ACA ribonucleoprotein complex subunit 2 (Nucleolar protein family A member 2) (snoRNP protein NHP2)	Homo sapiens (Human)	153	NHP2	NHP2_HUMAN
Q92542	reviewed	Nicastrin	Homo sapiens (Human)	709	NCSTN	NICA_HUMAN
P30419	reviewed	Glycylpeptide N-tetradecanoyltransferase 1 (EC 2.3.1.97) (Myristoyl-CoA:protein N-myristoyltransferase 1) (NMT 1) (Type I N-myristoyltransferase) (Peptide N-myristoyltransferase 1)	Homo sapiens (Human)	496	NMT1	NMT1_HUMAN
Q14978	reviewed	Nucleolar and coiled-body phosphoprotein 1 (140 kDa nucleolar phosphoprotein) (Nopp140) (Hepatitis C virus NS5A-transactivated protein 13) (HCV NS5A-transactivated protein 13) (Nucleolar 130 kDa protein) (Nucleolar phosphoprotein p130)	Homo sapiens (Human)	699	NOLC1	NOLC1_HUMAN
Q15233	reviewed	Non-POU domain-containing octamer-binding protein (NonO protein) (54 kDa nuclear RNA- and DNA-binding protein) (55 kDa nuclear protein) (DNA-binding p52/p100 complex, 52 kDa subunit) (NMT55) (p54(nrb)) (p54nrb)	Homo sapiens (Human)	471	NONO	NONO_HUMAN
P46087	reviewed	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase (EC 2.1.1.-) (Nucleolar protein 1) (Nucleolar protein 2 homolog) (Proliferating-cell nucleolar antigen p120) (Proliferation-associated nucleolar protein p120)	Homo sapiens (Human)	812	NOP2	NOP2_HUMAN
O00567	reviewed	Nucleolar protein 56 (Nucleolar protein 5A)	Homo sapiens (Human)	594	NOP56	NOP56_HUMAN
Q9Y2X3	reviewed	Nucleolar protein 58 (Nucleolar protein 5)	Homo sapiens (Human)	529	NOP58	NOP58_HUMAN
P06748	reviewed	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	Homo sapiens (Human)	294	NPM1	NPM_HUMAN
Q08J23	reviewed	tRNA (cytosine(34)-C(5))-methyltransferase (EC 2.1.1.203) (Myc-induced SUN domain-containing protein) (Misu) (NOL1/NOP2/Sun domain family member 2) (Substrate of AIM1/Aurora kinase B) (tRNA (cytosine-5-)-methyltransferase) (tRNA methyltransferase 4 homolog) (hTrm4)	Homo sapiens (Human)	767	NSUN2	NSUN2_HUMAN
Q9H1E3	reviewed	Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 (P1)	Homo sapiens (Human)	243	NUCKS1	NUCKS_HUMAN
P19338	reviewed	Nucleolin (Protein C23)	Homo sapiens (Human)	710	NCL	NUCL_HUMAN
Q9NTK5	reviewed	Obg-like ATPase 1 (DNA damage-regulated overexpressed in cancer 45) (DOC45) (GTP-binding protein 9)	Homo sapiens (Human)	396	OLA1	OLA1_HUMAN
Q9UQ80	reviewed	Proliferation-associated protein 2G4 (Cell cycle protein p38-2G4 homolog) (hG4-1) (ErbB3-binding protein 1)	Homo sapiens (Human)	394	PA2G4	PA2G4_HUMAN
P11940	reviewed	Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)	Homo sapiens (Human)	636	PABPC1	PABP1_HUMAN
Q13310	reviewed	Polyadenylate-binding protein 4 (PABP-4) (Poly(A)-binding protein 4) (Activated-platelet protein 1) (APP-1) (Inducible poly(A)-binding protein) (iPABP)	Homo sapiens (Human)	644	PABPC4	PABP4_HUMAN
Q8N7H5	reviewed	RNA polymerase II-associated factor 1 homolog (hPAF1) (Pancreatic differentiation protein 2)	Homo sapiens (Human)	531	PAF1	PAF1_HUMAN
Q8NC51	reviewed	Plasminogen activator inhibitor 1 RNA-binding protein (PAI1 RNA-binding protein 1) (PAI-RBP1) (SERPINE1 mRNA-binding protein 1)	Homo sapiens (Human)	408	SERBP1	PAIRB_HUMAN
Q15365	reviewed	Poly(rC)-binding protein 1 (Alpha-CP1) (Heterogeneous nuclear ribonucleoprotein E1) (hnRNP E1) (Nucleic acid-binding protein SUB2.3)	Homo sapiens (Human)	356	PCBP1	PCBP1_HUMAN
Q15366	reviewed	Poly(rC)-binding protein 2 (Alpha-CP2) (Heterogeneous nuclear ribonucleoprotein E2) (hnRNP E2)	Homo sapiens (Human)	365	PCBP2	PCBP2_HUMAN
P07237	reviewed	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55)	Homo sapiens (Human)	508	P4HB	PDIA1_HUMAN
P30101	reviewed	Protein disulfide-isomerase A3 (EC 5.3.4.1) (58 kDa glucose-regulated protein) (58 kDa microsomal protein) (p58) (Disulfide isomerase ER-60) (Endoplasmic reticulum resident protein 57) (ER protein 57) (ERp57) (Endoplasmic reticulum resident protein 60) (ER protein 60) (ERp60)	Homo sapiens (Human)	505	PDIA3	PDIA3_HUMAN
P13667	reviewed	Protein disulfide-isomerase A4 (EC 5.3.4.1) (Endoplasmic reticulum resident protein 70) (ER protein 70) (ERp70) (Endoplasmic reticulum resident protein 72) (ER protein 72) (ERp-72) (ERp72)	Homo sapiens (Human)	645	PDIA4	PDIA4_HUMAN
Q15084	reviewed	Protein disulfide-isomerase A6 (EC 5.3.4.1) (Endoplasmic reticulum protein 5) (ER protein 5) (ERp5) (Protein disulfide isomerase P5) (Thioredoxin domain-containing protein 7)	Homo sapiens (Human)	440	PDIA6	PDIA6_HUMAN
Q9BY77	reviewed	Polymerase delta-interacting protein 3 (46 kDa DNA polymerase delta interaction protein) (p46) (S6K1 Aly/REF-like target) (SKAR)	Homo sapiens (Human)	421	POLDIP3	PDIP3_HUMAN
P30086	reviewed	Phosphatidylethanolamine-binding protein 1 (PEBP-1) (HCNPpp) (Neuropolypeptide h3) (Prostatic-binding protein) (Raf kinase inhibitor protein) (RKIP) [Cleaved into: Hippocampal cholinergic neurostimulating peptide (HCNP)]	Homo sapiens (Human)	187	PEBP1	PEBP1_HUMAN
P00558	reviewed	Phosphoglycerate kinase 1 (EC 2.7.2.3) (Cell migration-inducing gene 10 protein) (Primer recognition protein 2) (PRP 2)	Homo sapiens (Human)	417	PGK1	PGK1_HUMAN
Q9H307	reviewed	Pinin (140 kDa nuclear and cell adhesion-related phosphoprotein) (Desmosome-associated protein) (Domain-rich serine protein) (DRS protein) (DRSP) (Melanoma metastasis clone A protein) (Nuclear protein SDK3) (SR-like protein)	Homo sapiens (Human)	717	PNN	PININ_HUMAN
Q15149	reviewed	Plectin (PCN) (PLTN) (Hemidesmosomal protein 1) (HD1) (Plectin-1)	Homo sapiens (Human)	4684	PLEC	PLEC_HUMAN
O00469	reviewed	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 (EC 1.14.11.4) (Lysyl hydroxylase 2) (LH2)	Homo sapiens (Human)	737	PLOD2	PLOD2_HUMAN
O00592	reviewed	Podocalyxin (GCTM-2 antigen) (Gp200) (Podocalyxin-like protein 1) (PC) (PCLP-1)	Homo sapiens (Human)	558	PODXL	PODXL_HUMAN
P23284	reviewed	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP)	Homo sapiens (Human)	216	PPIB	PPIB_HUMAN
O15355	reviewed	Protein phosphatase 1G (EC 3.1.3.16) (Protein phosphatase 1C) (Protein phosphatase 2C isoform gamma) (PP2C-gamma) (Protein phosphatase magnesium-dependent 1 gamma)	Homo sapiens (Human)	546	PPM1G	PPM1G_HUMAN
Q5VTL8	reviewed	Pre-mRNA-splicing factor 38B (Sarcoma antigen NY-SAR-27)	Homo sapiens (Human)	546	PRPF38B	PR38B_HUMAN
O75400	reviewed	Pre-mRNA-processing factor 40 homolog A (Fas ligand-associated factor 1) (Formin-binding protein 11) (Formin-binding protein 3) (Huntingtin yeast partner A) (Huntingtin-interacting protein 10) (HIP-10) (Huntingtin-interacting protein A) (Renal carcinoma antigen NY-REN-6)	Homo sapiens (Human)	957	PRPF40A	PR40A_HUMAN
P48634	reviewed	Protein PRRC2A (HLA-B-associated transcript 2) (Large proline-rich protein BAT2) (Proline-rich and coiled-coil-containing protein 2A) (Protein G2)	Homo sapiens (Human)	2157	PRRC2A	PRC2A_HUMAN
Q9Y520	reviewed	Protein PRRC2C (BAT2 domain-containing protein 1) (HBV X-transactivated gene 2 protein) (HBV XAg-transactivated protein 2) (HLA-B-associated transcript 2-like 2) (Proline-rich and coiled-coil-containing protein 2C)	Homo sapiens (Human)	2896	PRRC2C	PRC2C_HUMAN
P78527	reviewed	DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (DNPK1) (p460)	Homo sapiens (Human)	4128	PRKDC	PRKDC_HUMAN
Q8WWY3	reviewed	U4/U6 small nuclear ribonucleoprotein Prp31 (Pre-mRNA-processing factor 31) (Serologically defined breast cancer antigen NY-BR-99) (U4/U6 snRNP 61 kDa protein) (Protein 61K) (hPrp31)	Homo sapiens (Human)	499	PRPF31	PRP31_HUMAN
Q6P2Q9	reviewed	Pre-mRNA-processing-splicing factor 8 (220 kDa U5 snRNP-specific protein) (PRP8 homolog) (Splicing factor Prp8) (p220)	Homo sapiens (Human)	2335	PRPF8	PRP8_HUMAN
O75475	reviewed	PC4 and SFRS1-interacting protein (CLL-associated antigen KW-7) (Dense fine speckles 70 kDa protein) (DFS 70) (Lens epithelium-derived growth factor) (Transcriptional coactivator p75/p52)	Homo sapiens (Human)	530	PSIP1	PSIP1_HUMAN
Q8WXF1	reviewed	Paraspeckle component 1 (Paraspeckle protein 1)	Homo sapiens (Human)	523	PSPC1	PSPC1_HUMAN
P26599	reviewed	Polypyrimidine tract-binding protein 1 (PTB) (57 kDa RNA-binding protein PPTB-1) (Heterogeneous nuclear ribonucleoprotein I) (hnRNP I)	Homo sapiens (Human)	531	PTBP1	PTBP1_HUMAN
Q9UKA9	reviewed	Polypyrimidine tract-binding protein 2 (Neural polypyrimidine tract-binding protein) (Neurally-enriched homolog of PTB) (PTB-like protein)	Homo sapiens (Human)	531	PTBP2	PTBP2_HUMAN
O95758	reviewed	Polypyrimidine tract-binding protein 3 (Regulator of differentiation 1) (Rod1)	Homo sapiens (Human)	552	PTBP3	PTBP3_HUMAN
Q9UHX1	reviewed	Poly(U)-binding-splicing factor PUF60 (60 kDa poly(U)-binding-splicing factor) (FUSE-binding protein-interacting repressor) (FBP-interacting repressor) (Ro-binding protein 1) (RoBP1) (Siah-binding protein 1) (Siah-BP1)	Homo sapiens (Human)	559	PUF60	PUF60_HUMAN
Q14671	reviewed	Pumilio homolog 1 (HsPUM) (Pumilio-1)	Homo sapiens (Human)	1186	PUM1	PUM1_HUMAN
Q8TB72	reviewed	Pumilio homolog 2 (Pumilio-2)	Homo sapiens (Human)	1066	PUM2	PUM2_HUMAN
Q00577	reviewed	Transcriptional activator protein Pur-alpha (Purine-rich single-stranded DNA-binding protein alpha)	Homo sapiens (Human)	322	PURA	PURA_HUMAN
Q96QR8	reviewed	Transcriptional activator protein Pur-beta (Purine-rich element-binding protein B)	Homo sapiens (Human)	312	PURB	PURB_HUMAN
Q15269	reviewed	Periodic tryptophan protein 2 homolog	Homo sapiens (Human)	919	PWP2	PWP2_HUMAN
P27708	reviewed	CAD protein [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Aspartate carbamoyltransferase (EC 2.1.3.2); Dihydroorotase (EC 3.5.2.3)]	Homo sapiens (Human)	2225	CAD	PYR1_HUMAN
P62820	reviewed	Ras-related protein Rab-1A (YPT1-related protein)	Homo sapiens (Human)	205	RAB1A	RAB1A_HUMAN
P63244	reviewed	Receptor of activated protein C kinase 1 (Cell proliferation-inducing gene 21 protein) (Guanine nucleotide-binding protein subunit beta-2-like 1) (Guanine nucleotide-binding protein subunit beta-like protein 12.3) (Human lung cancer oncogene 7 protein) (HLC-7) (Receptor for activated C kinase) (Small ribosomal subunit protein RACK1) [Cleaved into: Receptor of activated protein C kinase 1, N-terminally processed (Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed)]	Homo sapiens (Human)	317	RACK1	RACK1_HUMAN
Q9UKM9	reviewed	RNA-binding protein Raly (Autoantigen p542) (Heterogeneous nuclear ribonucleoprotein C-like 2) (hnRNP core protein C-like 2) (hnRNP associated with lethal yellow protein homolog)	Homo sapiens (Human)	306	RALY	RALY_HUMAN
Q7Z6E9	reviewed	E3 ubiquitin-protein ligase RBBP6 (EC 2.3.2.27) (Proliferation potential-related protein) (Protein P2P-R) (RING-type E3 ubiquitin transferase RBBP6) (Retinoblastoma-binding Q protein 1) (RBQ-1) (Retinoblastoma-binding protein 6) (p53-associated cellular protein of testis)	Homo sapiens (Human)	1792	RBBP6	RBBP6_HUMAN
