Entry	Status	Protein names	Organism	Length	Gene names  (primary )	Entry name
Q8WXF1	reviewed	Paraspeckle component 1 (Paraspeckle protein 1)	Homo sapiens (Human)	523	PSPC1	PSPC1_HUMAN
Q5T6F2	reviewed	Ubiquitin-associated protein 2 (UBAP-2)	Homo sapiens (Human)	1119	UBAP2	UBAP2_HUMAN
P46087	reviewed	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase (EC 2.1.1.-) (Nucleolar protein 1) (Nucleolar protein 2 homolog) (Proliferating-cell nucleolar antigen p120) (Proliferation-associated nucleolar protein p120)	Homo sapiens (Human)	812	NOP2	NOP2_HUMAN
Q15424	reviewed	Scaffold attachment factor B1 (SAF-B) (SAF-B1) (HSP27 estrogen response element-TATA box-binding protein) (HSP27 ERE-TATA-binding protein)	Homo sapiens (Human)	915	SAFB	SAFB1_HUMAN
Q96AE4	reviewed	Far upstream element-binding protein 1 (FBP) (FUSE-binding protein 1) (DNA helicase V) (hDH V)	Homo sapiens (Human)	644	FUBP1	FUBP1_HUMAN
Q8IWZ3	reviewed	Ankyrin repeat and KH domain-containing protein 1 (HIV-1 Vpr-binding ankyrin repeat protein) (Multiple ankyrin repeats single KH domain) (hMASK)	Homo sapiens (Human)	2542	ANKHD1	ANKH1_HUMAN
O75533	reviewed	Splicing factor 3B subunit 1 (Pre-mRNA-splicing factor SF3b 155 kDa subunit) (SF3b155) (Spliceosome-associated protein 155) (SAP 155)	Homo sapiens (Human)	1304	SF3B1	SF3B1_HUMAN
Q12849	reviewed	G-rich sequence factor 1 (GRSF-1)	Homo sapiens (Human)	480	GRSF1	GRSF1_HUMAN
P12956	reviewed	X-ray repair cross-complementing protein 6 (EC 3.6.4.-) (EC 4.2.99.-) (5'-deoxyribose-5-phosphate lyase Ku70) (5'-dRP lyase Ku70) (70 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 1) (ATP-dependent DNA helicase II 70 kDa subunit) (CTC box-binding factor 75 kDa subunit) (CTC75) (CTCBF) (DNA repair protein XRCC6) (Lupus Ku autoantigen protein p70) (Ku70) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 6)	Homo sapiens (Human)	609	XRCC6	XRCC6_HUMAN
P60842	reviewed	Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)	Homo sapiens (Human)	406	EIF4A1	IF4A1_HUMAN
Q9BVP2	reviewed	Guanine nucleotide-binding protein-like 3 (E2-induced gene 3 protein) (Novel nucleolar protein 47) (NNP47) (Nucleolar GTP-binding protein 3) (Nucleostemin)	Homo sapiens (Human)	549	GNL3	GNL3_HUMAN
Q15365	reviewed	Poly(rC)-binding protein 1 (Alpha-CP1) (Heterogeneous nuclear ribonucleoprotein E1) (hnRNP E1) (Nucleic acid-binding protein SUB2.3)	Homo sapiens (Human)	356	PCBP1	PCBP1_HUMAN
P62424	reviewed	60S ribosomal protein L7a (Large ribosomal subunit protein eL8) (PLA-X polypeptide) (Surfeit locus protein 3)	Homo sapiens (Human)	266	RPL7A	RL7A_HUMAN
P78316	reviewed	Nucleolar protein 14 (Nucleolar complex protein 14)	Homo sapiens (Human)	857	NOP14	NOP14_HUMAN
O14578	reviewed	Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Serine/threonine-protein kinase 21)	Homo sapiens (Human)	2027	CIT	CTRO_HUMAN
Q00577	reviewed	Transcriptional activator protein Pur-alpha (Purine-rich single-stranded DNA-binding protein alpha)	Homo sapiens (Human)	322	PURA	PURA_HUMAN
P18124	reviewed	60S ribosomal protein L7 (Large ribosomal subunit protein uL30)	Homo sapiens (Human)	248	RPL7	RL7_HUMAN
P55795	reviewed	Heterogeneous nuclear ribonucleoprotein H2 (hnRNP H2) (FTP-3) (Heterogeneous nuclear ribonucleoprotein H') (hnRNP H') [Cleaved into: Heterogeneous nuclear ribonucleoprotein H2, N-terminally processed]	Homo sapiens (Human)	449	HNRNPH2	HNRH2_HUMAN
Q9NVP1	reviewed	ATP-dependent RNA helicase DDX18 (EC 3.6.4.13) (DEAD box protein 18) (Myc-regulated DEAD box protein) (MrDb)	Homo sapiens (Human)	670	DDX18	DDX18_HUMAN
Q92841	reviewed	Probable ATP-dependent RNA helicase DDX17 (EC 3.6.4.13) (DEAD box protein 17) (DEAD box protein p72) (DEAD box protein p82) (RNA-dependent helicase p72)	Homo sapiens (Human)	729	DDX17	DDX17_HUMAN
Q13823	reviewed	Nucleolar GTP-binding protein 2 (Autoantigen NGP-1)	Homo sapiens (Human)	731	GNL2	NOG2_HUMAN
O00425	reviewed	Insulin-like growth factor 2 mRNA-binding protein 3 (IGF2 mRNA-binding protein 3) (IMP-3) (IGF-II mRNA-binding protein 3) (KH domain-containing protein overexpressed in cancer) (hKOC) (VICKZ family member 3)	Homo sapiens (Human)	579	IGF2BP3	IF2B3_HUMAN
Q96EY7	reviewed	Pentatricopeptide repeat domain-containing protein 3, mitochondrial (28S ribosomal protein S39, mitochondrial) (MRP-S39) (Mitochondrial small ribosomal subunit protein mS39) (Transformation-related gene 15 protein) (TRG-15)	Homo sapiens (Human)	689	PTCD3	PTCD3_HUMAN
Q8IWA0	reviewed	WD repeat-containing protein 75 (U3 small nucleolar RNA-associated protein 17 homolog)	Homo sapiens (Human)	830	WDR75	WDR75_HUMAN
O00566	reviewed	U3 small nucleolar ribonucleoprotein protein MPP10 (M phase phosphoprotein 10)	Homo sapiens (Human)	681	MPHOSPH10	MPP10_HUMAN
Q5JSZ5	reviewed	Protein PRRC2B (HLA-B-associated transcript 2-like 1) (Proline-rich coiled-coil protein 2B)	Homo sapiens (Human)	2229	PRRC2B	PRC2B_HUMAN
P62854	reviewed	40S ribosomal protein S26 (Small ribosomal subunit protein eS26)	Homo sapiens (Human)	115	RPS26	RS26_HUMAN
Q9NYF8	reviewed	Bcl-2-associated transcription factor 1 (Btf) (BCLAF1 and THRAP3 family member 1)	Homo sapiens (Human)	920	BCLAF1	BCLF1_HUMAN
Q14498	reviewed	RNA-binding protein 39 (CAPER alpha) (Hepatocellular carcinoma protein 1) (RNA-binding motif protein 39) (RNA-binding region-containing protein 2) (Splicing factor HCC1)	Homo sapiens (Human)	530	RBM39	RBM39_HUMAN
Q9Y2W1	reviewed	Thyroid hormone receptor-associated protein 3 (BCLAF1 and THRAP3 family member 2) (Thyroid hormone receptor-associated protein complex 150 kDa component) (Trap150)	Homo sapiens (Human)	955	THRAP3	TR150_HUMAN
P42696	reviewed	RNA-binding protein 34 (RNA-binding motif protein 34)	Homo sapiens (Human)	430	RBM34	RBM34_HUMAN
P05455	reviewed	Lupus La protein (La autoantigen) (La ribonucleoprotein) (Sjoegren syndrome type B antigen) (SS-B)	Homo sapiens (Human)	408	SSB	LA_HUMAN
O14979	reviewed	Heterogeneous nuclear ribonucleoprotein D-like (hnRNP D-like) (hnRNP DL) (AU-rich element RNA-binding factor) (JKT41-binding protein) (Protein laAUF1)	Homo sapiens (Human)	420	HNRNPDL	HNRDL_HUMAN
Q86V81	reviewed	THO complex subunit 4 (Tho4) (Ally of AML-1 and LEF-1) (Aly/REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing factor BEF)	Homo sapiens (Human)	257	ALYREF	THOC4_HUMAN
Q15397	reviewed	Pumilio homolog 3 (HBV X-transactivated gene 5 protein) (HBV XAg-transactivated protein 5) (Minor histocompatibility antigen HA-8) (HLA-HA8)	Homo sapiens (Human)	648	PUM3	PUM3_HUMAN
Q9GZR7	reviewed	ATP-dependent RNA helicase DDX24 (EC 3.6.4.13) (DEAD box protein 24)	Homo sapiens (Human)	859	DDX24	DDX24_HUMAN
P50914	reviewed	60S ribosomal protein L14 (CAG-ISL 7) (Large ribosomal subunit protein eL14)	Homo sapiens (Human)	215	RPL14	RL14_HUMAN
P11387	reviewed	DNA topoisomerase 1 (EC 5.99.1.2) (DNA topoisomerase I)	Homo sapiens (Human)	765	TOP1	TOP1_HUMAN
Q16629	reviewed	Serine/arginine-rich splicing factor 7 (Splicing factor 9G8) (Splicing factor, arginine/serine-rich 7)	Homo sapiens (Human)	238	SRSF7	SRSF7_HUMAN
P62241	reviewed	40S ribosomal protein S8 (Small ribosomal subunit protein eS8)	Homo sapiens (Human)	208	RPS8	RS8_HUMAN
Q15434	reviewed	RNA-binding motif, single-stranded-interacting protein 2 (Suppressor of CDC2 with RNA-binding motif 3)	Homo sapiens (Human)	407	RBMS2	RBMS2_HUMAN
P49327	reviewed	Fatty acid synthase (EC 2.3.1.85) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Oleoyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)]	Homo sapiens (Human)	2511	FASN	FAS_HUMAN
Q9NYY8	reviewed	FAST kinase domain-containing protein 2, mitochondrial	Homo sapiens (Human)	710	FASTKD2	FAKD2_HUMAN
Q15056	reviewed	Eukaryotic translation initiation factor 4H (eIF-4H) (Williams-Beuren syndrome chromosomal region 1 protein)	Homo sapiens (Human)	248	EIF4H	IF4H_HUMAN
Q5QJE6	reviewed	Deoxynucleotidyltransferase terminal-interacting protein 2 (Estrogen receptor-binding protein) (LPTS-interacting protein 2) (LPTS-RP2) (Terminal deoxynucleotidyltransferase-interacting factor 2) (TdIF2) (TdT-interacting factor 2)	Homo sapiens (Human)	756	DNTTIP2	TDIF2_HUMAN
Q99848	reviewed	Probable rRNA-processing protein EBP2 (EBNA1-binding protein 2) (Nucleolar protein p40)	Homo sapiens (Human)	306	EBNA1BP2	EBP2_HUMAN
P68431	reviewed	Histone H3.1 (Histone H3/a) (Histone H3/b) (Histone H3/c) (Histone H3/d) (Histone H3/f) (Histone H3/h) (Histone H3/i) (Histone H3/j) (Histone H3/k) (Histone H3/l)	Homo sapiens (Human)	136	HIST1H3A; HIST1H3B; HIST1H3C; HIST1H3D; HIST1H3E; HIST1H3F; HIST1H3G; HIST1H3H; HIST1H3I; HIST1H3J	H31_HUMAN
P14618	reviewed	Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein) (CTHBP) (Opa-interacting protein 3) (OIP-3) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Thyroid hormone-binding protein 1) (THBP1) (Tumor M2-PK) (p58)	Homo sapiens (Human)	531	PKM	KPYM_HUMAN
Q8IVF2	reviewed	Protein AHNAK2	Homo sapiens (Human)	5795	AHNAK2	AHNK2_HUMAN
Q07020	reviewed	60S ribosomal protein L18 (Large ribosomal subunit protein eL18)	Homo sapiens (Human)	188	RPL18	RL18_HUMAN
P47914	reviewed	60S ribosomal protein L29 (Cell surface heparin-binding protein HIP) (Large ribosomal subunit protein eL29)	Homo sapiens (Human)	159	RPL29	RL29_HUMAN
Q1KMD3	reviewed	Heterogeneous nuclear ribonucleoprotein U-like protein 2 (Scaffold-attachment factor A2) (SAF-A2)	Homo sapiens (Human)	747	HNRNPUL2	HNRL2_HUMAN
P07437	reviewed	Tubulin beta chain (Tubulin beta-5 chain)	Homo sapiens (Human)	444	TUBB	TBB5_HUMAN
P13639	reviewed	Elongation factor 2 (EF-2)	Homo sapiens (Human)	858	EEF2	EF2_HUMAN
Q92615	reviewed	La-related protein 4B (La ribonucleoprotein domain family member 4B) (La ribonucleoprotein domain family member 5) (La-related protein 5)	Homo sapiens (Human)	738	LARP4B	LAR4B_HUMAN
Q8WTT2	reviewed	Nucleolar complex protein 3 homolog (NOC3 protein homolog) (Factor for adipocyte differentiation 24) (NOC3-like protein) (Nucleolar complex-associated protein 3-like protein)	Homo sapiens (Human)	800	NOC3L	NOC3L_HUMAN
Q6NXG1	reviewed	Epithelial splicing regulatory protein 1 (RNA-binding motif protein 35A) (RNA-binding protein 35A)	Homo sapiens (Human)	681	ESRP1	ESRP1_HUMAN
Q86UP2	reviewed	Kinectin (CG-1 antigen) (Kinesin receptor)	Homo sapiens (Human)	1357	KTN1	KTN1_HUMAN
Q8TED0	reviewed	U3 small nucleolar RNA-associated protein 15 homolog	Homo sapiens (Human)	518	UTP15	UTP15_HUMAN
Q13247	reviewed	Serine/arginine-rich splicing factor 6 (Pre-mRNA-splicing factor SRP55) (Splicing factor, arginine/serine-rich 6)	Homo sapiens (Human)	344	SRSF6	SRSF6_HUMAN
P61247	reviewed	40S ribosomal protein S3a (Small ribosomal subunit protein eS1) (v-fos transformation effector protein) (Fte-1)	Homo sapiens (Human)	264	RPS3A	RS3A_HUMAN
P62753	reviewed	40S ribosomal protein S6 (Phosphoprotein NP33) (Small ribosomal subunit protein eS6)	Homo sapiens (Human)	249	RPS6	RS6_HUMAN
P62263	reviewed	40S ribosomal protein S14 (Small ribosomal subunit protein uS11)	Homo sapiens (Human)	151	RPS14	RS14_HUMAN
Q9BWF3	reviewed	RNA-binding protein 4 (Lark homolog) (hLark) (RNA-binding motif protein 4) (RNA-binding motif protein 4a)	Homo sapiens (Human)	364	RBM4	RBM4_HUMAN
P78332	reviewed	RNA-binding protein 6 (Lung cancer antigen NY-LU-12) (Protein G16) (RNA-binding motif protein 6) (RNA-binding protein DEF-3)	Homo sapiens (Human)	1123	RBM6	RBM6_HUMAN
P62750	reviewed	60S ribosomal protein L23a (Large ribosomal subunit protein uL23)	Homo sapiens (Human)	156	RPL23A	RL23A_HUMAN
Q9UHX1	reviewed	Poly(U)-binding-splicing factor PUF60 (60 kDa poly(U)-binding-splicing factor) (FUSE-binding protein-interacting repressor) (FBP-interacting repressor) (Ro-binding protein 1) (RoBP1) (Siah-binding protein 1) (Siah-BP1)	Homo sapiens (Human)	559	PUF60	PUF60_HUMAN
Q01130	reviewed	Serine/arginine-rich splicing factor 2 (Protein PR264) (Splicing component, 35 kDa) (Splicing factor SC35) (SC-35) (Splicing factor, arginine/serine-rich 2)	Homo sapiens (Human)	221	SRSF2	SRSF2_HUMAN
Q15427	reviewed	Splicing factor 3B subunit 4 (Pre-mRNA-splicing factor SF3b 49 kDa subunit) (Spliceosome-associated protein 49) (SAP 49)	Homo sapiens (Human)	424	SF3B4	SF3B4_HUMAN
Q15058	reviewed	Kinesin-like protein KIF14	Homo sapiens (Human)	1648	KIF14	KIF14_HUMAN
P10412	reviewed	Histone H1.4 (Histone H1b) (Histone H1s-4)	Homo sapiens (Human)	219	HIST1H1E	H14_HUMAN
P49207	reviewed	60S ribosomal protein L34 (Large ribosomal subunit protein eL34)	Homo sapiens (Human)	117	RPL34	RL34_HUMAN
O15371	reviewed	Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7) (eIF-3-zeta) (eIF3 p66)	Homo sapiens (Human)	548	EIF3D	EIF3D_HUMAN
P62910	reviewed	60S ribosomal protein L32 (Large ribosomal subunit protein eL32)	Homo sapiens (Human)	135	RPL32	RL32_HUMAN
Q99575	reviewed	Ribonucleases P/MRP protein subunit POP1 (hPOP1) (EC 3.1.26.5)	Homo sapiens (Human)	1024	POP1	POP1_HUMAN
Q9NWH9	reviewed	SAFB-like transcription modulator (Modulator of estrogen-induced transcription)	Homo sapiens (Human)	1034	SLTM	SLTM_HUMAN
P40429	reviewed	60S ribosomal protein L13a (23 kDa highly basic protein) (Large ribosomal subunit protein uL13)	Homo sapiens (Human)	203	RPL13A	RL13A_HUMAN
Q02241	reviewed	Kinesin-like protein KIF23 (Kinesin-like protein 5) (Mitotic kinesin-like protein 1)	Homo sapiens (Human)	960	KIF23	KIF23_HUMAN
P16402	reviewed	Histone H1.3 (Histone H1c) (Histone H1s-2)	Homo sapiens (Human)	221	HIST1H1D	H13_HUMAN
O75821	reviewed	Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Eukaryotic translation initiation factor 3 subunit 4) (eIF-3-delta) (eIF3 p42) (eIF3 p44)	Homo sapiens (Human)	320	EIF3G	EIF3G_HUMAN
P42285	reviewed	Exosome RNA helicase MTR4 (EC 3.6.4.13) (ATP-dependent RNA helicase DOB1) (ATP-dependent RNA helicase SKIV2L2) (Superkiller viralicidic activity 2-like 2) (TRAMP-like complex helicase)	Homo sapiens (Human)	1042	MTREX	MTREX_HUMAN
P08670	reviewed	Vimentin	Homo sapiens (Human)	466	VIM	VIME_HUMAN
O60841	reviewed	Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2)	Homo sapiens (Human)	1220	EIF5B	IF2P_HUMAN
P62304	reviewed	Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E) (Sm-E) (SmE)	Homo sapiens (Human)	92	SNRPE	RUXE_HUMAN
Q13151	reviewed	Heterogeneous nuclear ribonucleoprotein A0 (hnRNP A0)	Homo sapiens (Human)	305	HNRNPA0	ROA0_HUMAN
Q9UGR2	reviewed	Zinc finger CCCH domain-containing protein 7B (Rotavirus 'X'-associated non-structural protein) (RoXaN)	Homo sapiens (Human)	993	ZC3H7B	Z3H7B_HUMAN
P62314	reviewed	Small nuclear ribonucleoprotein Sm D1 (Sm-D1) (Sm-D autoantigen) (snRNP core protein D1)	Homo sapiens (Human)	119	SNRPD1	SMD1_HUMAN
Q8N163	reviewed	Cell cycle and apoptosis regulator protein 2 (Cell division cycle and apoptosis regulator protein 2) (DBIRD complex subunit KIAA1967) (Deleted in breast cancer gene 1 protein) (DBC-1) (DBC.1) (NET35) (p30 DBC)	Homo sapiens (Human)	923	CCAR2	CCAR2_HUMAN
P35268	reviewed	60S ribosomal protein L22 (EBER-associated protein) (EAP) (Epstein-Barr virus small RNA-associated protein) (Heparin-binding protein HBp15) (Large ribosomal subunit protein eL22)	Homo sapiens (Human)	128	RPL22	RL22_HUMAN
O00541	reviewed	Pescadillo homolog	Homo sapiens (Human)	588	PES1	PESC_HUMAN
O75400	reviewed	Pre-mRNA-processing factor 40 homolog A (Fas ligand-associated factor 1) (Formin-binding protein 11) (Formin-binding protein 3) (Huntingtin yeast partner A) (Huntingtin-interacting protein 10) (HIP-10) (Huntingtin-interacting protein A) (Renal carcinoma antigen NY-REN-6)	Homo sapiens (Human)	957	PRPF40A	PR40A_HUMAN
Q9Y5B9	reviewed	FACT complex subunit SPT16 (Chromatin-specific transcription elongation factor 140 kDa subunit) (FACT 140 kDa subunit) (FACTp140) (Facilitates chromatin transcription complex subunit SPT16) (hSPT16)	Homo sapiens (Human)	1047	SUPT16H	SP16H_HUMAN
Q07955	reviewed	Serine/arginine-rich splicing factor 1 (Alternative-splicing factor 1) (ASF-1) (Splicing factor, arginine/serine-rich 1) (pre-mRNA-splicing factor SF2, P33 subunit)	Homo sapiens (Human)	248	SRSF1	SRSF1_HUMAN
Q9UNX4	reviewed	WD repeat-containing protein 3	Homo sapiens (Human)	943	WDR3	WDR3_HUMAN
O95758	reviewed	Polypyrimidine tract-binding protein 3 (Regulator of differentiation 1) (Rod1)	Homo sapiens (Human)	552	PTBP3	PTBP3_HUMAN
P62280	reviewed	40S ribosomal protein S11 (Small ribosomal subunit protein uS17)	Homo sapiens (Human)	158	RPS11	RS11_HUMAN
P62847	reviewed	40S ribosomal protein S24 (Small ribosomal subunit protein eS24)	Homo sapiens (Human)	133	RPS24	RS24_HUMAN
P07355	reviewed	Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36)	Homo sapiens (Human)	339	ANXA2	ANXA2_HUMAN
Q99700	reviewed	Ataxin-2 (Spinocerebellar ataxia type 2 protein) (Trinucleotide repeat-containing gene 13 protein)	Homo sapiens (Human)	1313	ATXN2	ATX2_HUMAN
P84098	reviewed	60S ribosomal protein L19 (Large ribosomal subunit protein eL19)	Homo sapiens (Human)	196	RPL19	RL19_HUMAN
P62899	reviewed	60S ribosomal protein L31 (Large ribosomal subunit protein eL31)	Homo sapiens (Human)	125	RPL31	RL31_HUMAN
Q96EP5	reviewed	DAZ-associated protein 1 (Deleted in azoospermia-associated protein 1)	Homo sapiens (Human)	407	DAZAP1	DAZP1_HUMAN
Q13895	reviewed	Bystin	Homo sapiens (Human)	437	BYSL	BYST_HUMAN
Q7Z417	reviewed	Nuclear fragile X mental retardation-interacting protein 2 (82 kDa FMRP-interacting protein) (82-FIP) (Cell proliferation-inducing gene 1 protein) (FMRP-interacting protein 2)	Homo sapiens (Human)	695	NUFIP2	NUFP2_HUMAN
Q9NW64	reviewed	Pre-mRNA-splicing factor RBM22 (RNA-binding motif protein 22) (Zinc finger CCCH domain-containing protein 16)	Homo sapiens (Human)	420	RBM22	RBM22_HUMAN
Q14694	reviewed	Ubiquitin carboxyl-terminal hydrolase 10 (EC 3.4.19.12) (Deubiquitinating enzyme 10) (Ubiquitin thioesterase 10) (Ubiquitin-specific-processing protease 10)	Homo sapiens (Human)	798	USP10	UBP10_HUMAN
O60306	reviewed	RNA helicase aquarius (EC 3.6.4.13) (Intron-binding protein of 160 kDa) (IBP160)	Homo sapiens (Human)	1485	AQR	AQR_HUMAN
Q9BUJ2	reviewed	Heterogeneous nuclear ribonucleoprotein U-like protein 1 (Adenovirus early region 1B-associated protein 5) (E1B-55 kDa-associated protein 5) (E1B-AP5)	Homo sapiens (Human)	856	HNRNPUL1	HNRL1_HUMAN
P11388	reviewed	DNA topoisomerase 2-alpha (EC 5.99.1.3) (DNA topoisomerase II, alpha isozyme)	Homo sapiens (Human)	1531	TOP2A	TOP2A_HUMAN
Q9P2N5	reviewed	RNA-binding protein 27 (RNA-binding motif protein 27)	Homo sapiens (Human)	1060	RBM27	RBM27_HUMAN
P62995	reviewed	Transformer-2 protein homolog beta (TRA-2 beta) (TRA2-beta) (hTRA2-beta) (Splicing factor, arginine/serine-rich 10) (Transformer-2 protein homolog B)	Homo sapiens (Human)	288	TRA2B	TRA2B_HUMAN
Q86U38	reviewed	Nucleolar protein 9	Homo sapiens (Human)	636	NOP9	NOP9_HUMAN
Q14684	reviewed	Ribosomal RNA processing protein 1 homolog B (RRP1-like protein B)	Homo sapiens (Human)	758	RRP1B	RRP1B_HUMAN
Q9NQ55	reviewed	Suppressor of SWI4 1 homolog (Ssf-1) (Brix domain-containing protein 3) (Peter Pan homolog)	Homo sapiens (Human)	473	PPAN	SSF1_HUMAN
Q9H583	reviewed	HEAT repeat-containing protein 1 (Protein BAP28) (U3 small nucleolar RNA-associated protein 10 homolog) [Cleaved into: HEAT repeat-containing protein 1, N-terminally processed]	Homo sapiens (Human)	2144	HEATR1	HEAT1_HUMAN
P26373	reviewed	60S ribosomal protein L13 (Breast basic conserved protein 1) (Large ribosomal subunit protein eL13)	Homo sapiens (Human)	211	RPL13	RL13_HUMAN
P04406	reviewed	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	Homo sapiens (Human)	335	GAPDH	G3P_HUMAN
Q8NE71	reviewed	ATP-binding cassette sub-family F member 1 (ATP-binding cassette 50) (TNF-alpha-stimulated ABC protein)	Homo sapiens (Human)	845	ABCF1	ABCF1_HUMAN
Q9H0D6	reviewed	5'-3' exoribonuclease 2 (EC 3.1.13.-) (DHM1-like protein) (DHP protein)	Homo sapiens (Human)	950	XRN2	XRN2_HUMAN
Q14151	reviewed	Scaffold attachment factor B2 (SAF-B2)	Homo sapiens (Human)	953	SAFB2	SAFB2_HUMAN
O75153	reviewed	Clustered mitochondria protein homolog	Homo sapiens (Human)	1309	CLUH	CLU_HUMAN
P84103	reviewed	Serine/arginine-rich splicing factor 3 (Pre-mRNA-splicing factor SRP20) (Splicing factor, arginine/serine-rich 3)	Homo sapiens (Human)	164	SRSF3	SRSF3_HUMAN
Q9BZE1	reviewed	39S ribosomal protein L37, mitochondrial (L37mt) (MRP-L37) (39S ribosomal protein L2, mitochondrial) (L2mt) (MRP-L2) (Mitochondrial large ribosomal subunit protein mL37)	Homo sapiens (Human)	423	MRPL37	RM37_HUMAN
Q9H2U1	reviewed	ATP-dependent RNA helicase DHX36 (EC 3.6.4.12) (EC 3.6.4.13) (DEAH box protein 36) (G4-resolvase 1) (G4R1) (MLE-like protein 1) (RNA helicase associated with AU-rich element ARE)	Homo sapiens (Human)	1008	DHX36	DHX36_HUMAN
Q9H8H0	reviewed	Nucleolar protein 11	Homo sapiens (Human)	719	NOL11	NOL11_HUMAN
Q9NVN8	reviewed	Guanine nucleotide-binding protein-like 3-like protein	Homo sapiens (Human)	582	GNL3L	GNL3L_HUMAN
P98175	reviewed	RNA-binding protein 10 (G patch domain-containing protein 9) (RNA-binding motif protein 10) (RNA-binding protein S1-1) (S1-1)	Homo sapiens (Human)	930	RBM10	RBM10_HUMAN
Q969Z0	reviewed	FAST kinase domain-containing protein 4 (Cell cycle progression restoration protein 2) (Cell cycle progression protein 2) (Protein TBRG4) (Transforming growth factor beta regulator 4)	Homo sapiens (Human)	631	TBRG4	FAKD4_HUMAN
Q96KR1	reviewed	Zinc finger RNA-binding protein (hZFR) (M-phase phosphoprotein homolog)	Homo sapiens (Human)	1074	ZFR	ZFR_HUMAN
O43143	reviewed	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (ATP-dependent RNA helicase #46) (DEAH box protein 15)	Homo sapiens (Human)	795	DHX15	DHX15_HUMAN
Q15050	reviewed	Ribosome biogenesis regulatory protein homolog	Homo sapiens (Human)	365	RRS1	RRS1_HUMAN
O75152	reviewed	Zinc finger CCCH domain-containing protein 11A	Homo sapiens (Human)	810	ZC3H11A	ZC11A_HUMAN
P52756	reviewed	RNA-binding protein 5 (Protein G15) (Putative tumor suppressor LUCA15) (RNA-binding motif protein 5) (Renal carcinoma antigen NY-REN-9)	Homo sapiens (Human)	815	RBM5	RBM5_HUMAN
P56182	reviewed	Ribosomal RNA processing protein 1 homolog A (Novel nuclear protein 1) (NNP-1) (Nucleolar protein Nop52) (RRP1-like protein)	Homo sapiens (Human)	461	RRP1	RRP1_HUMAN
P29558	reviewed	RNA-binding motif, single-stranded-interacting protein 1 (Single-stranded DNA-binding protein MSSP-1) (Suppressor of CDC2 with RNA-binding motif 2)	Homo sapiens (Human)	406	RBMS1	RBMS1_HUMAN
Q9H0L4	reviewed	Cleavage stimulation factor subunit 2 tau variant (CF-1 64 kDa subunit tau variant) (Cleavage stimulation factor 64 kDa subunit tau variant) (CSTF 64 kDa subunit tau variant) (TauCstF-64)	Homo sapiens (Human)	616	CSTF2T	CSTFT_HUMAN
O75179	reviewed	Ankyrin repeat domain-containing protein 17 (Gene trap ankyrin repeat protein) (Serologically defined breast cancer antigen NY-BR-16)	Homo sapiens (Human)	2603	ANKRD17	ANR17_HUMAN
Q96P11	reviewed	Probable 28S rRNA (cytosine-C(5))-methyltransferase (EC 2.1.1.-) (NOL1-related protein) (NOL1R) (NOL1/NOP2/Sun domain family member 5) (Williams-Beuren syndrome chromosomal region 20A protein)	Homo sapiens (Human)	429	NSUN5	NSUN5_HUMAN
Q9BYG3	reviewed	MKI67 FHA domain-interacting nucleolar phosphoprotein (Nucleolar phosphoprotein Nopp34) (Nucleolar protein interacting with the FHA domain of pKI-67) (hNIFK)	Homo sapiens (Human)	293	NIFK	MK67I_HUMAN
